INPUT_TABLE,,,,
Variable ID,,,,
2,,,,
,,,,
region,ghgpolicy,market,year,constraint
CT,CO2_ELEC,CT,2020,1.38042
CT,CO2_ELEC,CT,2025,1.38042
CT,CO2_ELEC,CT,2030,1.38042
DE,CO2_ELEC,DE,2020,0.97575
DE,CO2_ELEC,DE,2025,0.97575
DE,CO2_ELEC,DE,2030,0.97575
ME,CO2_ELEC,ME,2020,0.767831455
ME,CO2_ELEC,ME,2025,0.767831455
ME,CO2_ELEC,ME,2030,0.767831455
MD,CO2_ELEC,MD,2020,4.840680545
MD,CO2_ELEC,MD,2025,4.840680545
MD,CO2_ELEC,MD,2030,4.840680545
MA,CO2_ELEC,MA,2020,3.441061909
MA,CO2_ELEC,MA,2025,3.441061909
MA,CO2_ELEC,MA,2030,3.441061909
NH,CO2_ELEC,NH,2020,1.112652273
NH,CO2_ELEC,NH,2025,1.112652273
NH,CO2_ELEC,NH,2030,1.112652273
NY,CO2_ELEC,NY,2020,8.300666727
NY,CO2_ELEC,NY,2025,8.300666727
NY,CO2_ELEC,NY,2030,8.300666727
RI,CO2_ELEC,RI,2020,0.343231091
RI,CO2_ELEC,RI,2025,0.343231091
RI,CO2_ELEC,RI,2030,0.343231091
VT,CO2_ELEC,VT,2020,0.158219182
VT,CO2_ELEC,VT,2025,0.158219182
VT,CO2_ELEC,VT,2030,0.158219182
