INPUT_TABLE,,,,,
Variable ID,,,,,
51,,,,,
,,,,,
region,supplysector,subsector,stub.technology,year,CO2
AK,base load generation,coal,coal_base_conv pul,1975,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,1990,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2005,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2010,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2015,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2020,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2025,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2030,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2035,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2040,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2045,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2050,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2055,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2060,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2065,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2070,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2075,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2080,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2085,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2090,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2095,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul,2100,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_CCS,1975,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_CCS,1990,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_CCS,2005,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_CCS,2010,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_CCS,2015,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_CCS,2020,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_CCS,2025,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_CCS,2030,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_CCS,2035,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_CCS,2040,CO2_ELEC
AK,base load generation,coal,coal_base_conv pul_CCS,2045,CO2_ELEC
