########## Scenario Component Metadata ##########
#Scenario component type: Market Share
#Type: LDV-EV (4W)
#Subset: trn_pass_road_LDV_4W : Car : Hybrid Liquids : million pass-km;trn_pass_road_LDV_4W : Car : Liquids : million pass-km;trn_pass_road_LDV_4W : Large Car and Truck : Hybrid Liquids : million pass-km;trn_pass_road_LDV_4W : Large Car and Truck : Liquids : million pass-km;trn_pass_road_LDV_4W : Mini Car : Hybrid Liquids : million pass-km;trn_pass_road_LDV_4W : Mini Car : Liquids : million pass-km;
#Superset: trn_pass_road_LDV_4W : Car : BEV : million pass-km;trn_pass_road_LDV_4W : Car : FCEV : million pass-km;trn_pass_road_LDV_4W : Car : Hybrid Liquids : million pass-km;trn_pass_road_LDV_4W : Car : Liquids : million pass-km;trn_pass_road_LDV_4W : Car : NG : million pass-km;trn_pass_road_LDV_4W : Large Car and Truck : BEV : million pass-km;trn_pass_road_LDV_4W : Large Car and Truck : FCEV : million pass-km;trn_pass_road_LDV_4W : Large Car and Truck : Hybrid Liquids : million pass-km;trn_pass_road_LDV_4W : Large Car and Truck : Liquids : million pass-km;trn_pass_road_LDV_4W : Large Car and Truck : NG : million pass-km;trn_pass_road_LDV_4W : Mini Car : BEV : million pass-km;trn_pass_road_LDV_4W : Mini Car : FCEV : million pass-km;trn_pass_road_LDV_4W : Mini Car : Hybrid Liquids : million pass-km;trn_pass_road_LDV_4W : Mini Car : Liquids : million pass-km;trn_pass_road_LDV_4W : Mini Car : NG : million pass-km;
#Applied to: New Purchases
#Treatment: Across Selected Regions
#Constraint: Lower
#Policy name: LDV-EV-4W_New_Reg81
#Market name: LDV-EV-4W_New_Reg_Mkt81
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2025   ,   0.957
#Table data:2030   ,   0.943
#Table data:2035   ,   0.930
#Table data:2040   ,   0.917
#Table data:2045   ,   0.903
#Table data:2050   ,   0.890
#Table data:2055  ,  .89
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdActivate

region,policy,market,type,year,constrained
AK,LDV-EV-4W_New_Reg81-2025,LDV-EV-4W_New_Reg_Mkt81-2025,RES,2025,1
AK,LDV-EV-4W_New_Reg81-2030,LDV-EV-4W_New_Reg_Mkt81-2030,RES,2030,1
AK,LDV-EV-4W_New_Reg81-2035,LDV-EV-4W_New_Reg_Mkt81-2035,RES,2035,1
AK,LDV-EV-4W_New_Reg81-2040,LDV-EV-4W_New_Reg_Mkt81-2040,RES,2040,1
AK,LDV-EV-4W_New_Reg81-2045,LDV-EV-4W_New_Reg_Mkt81-2045,RES,2045,1
AK,LDV-EV-4W_New_Reg81-2050,LDV-EV-4W_New_Reg_Mkt81-2050,RES,2050,1
AK,LDV-EV-4W_New_Reg81-2055,LDV-EV-4W_New_Reg_Mkt81-2055,RES,2055,1
AL,LDV-EV-4W_New_Reg81-2025,LDV-EV-4W_New_Reg_Mkt81-2025,RES,2025,1
AL,LDV-EV-4W_New_Reg81-2030,LDV-EV-4W_New_Reg_Mkt81-2030,RES,2030,1
AL,LDV-EV-4W_New_Reg81-2035,LDV-EV-4W_New_Reg_Mkt81-2035,RES,2035,1
AL,LDV-EV-4W_New_Reg81-2040,LDV-EV-4W_New_Reg_Mkt81-2040,RES,2040,1
AL,LDV-EV-4W_New_Reg81-2045,LDV-EV-4W_New_Reg_Mkt81-2045,RES,2045,1
AL,LDV-EV-4W_New_Reg81-2050,LDV-EV-4W_New_Reg_Mkt81-2050,RES,2050,1
AL,LDV-EV-4W_New_Reg81-2055,LDV-EV-4W_New_Reg_Mkt81-2055,RES,2055,1
AR,LDV-EV-4W_New_Reg81-2025,LDV-EV-4W_New_Reg_Mkt81-2025,RES,2025,1
AR,LDV-EV-4W_New_Reg81-2030,LDV-EV-4W_New_Reg_Mkt81-2030,RES,2030,1
AR,LDV-EV-4W_New_Reg81-2035,LDV-EV-4W_New_Reg_Mkt81-2035,RES,2035,1
AR,LDV-EV-4W_New_Reg81-2040,LDV-EV-4W_New_Reg_Mkt81-2040,RES,2040,1
AR,LDV-EV-4W_New_Reg81-2045,LDV-EV-4W_New_Reg_Mkt81-2045,RES,2045,1
AR,LDV-EV-4W_New_Reg81-2050,LDV-EV-4W_New_Reg_Mkt81-2050,RES,2050,1
