########## Scenario Component Metadata ##########
#Scenario component type: Sector Share
#Sector: biomass liquids
#Technologies: biomass liquids : biomass liquids : cellulosic ethanol;biomass liquids : biomass liquids : cellulosic ethanol CCS level 1;biomass liquids : biomass liquids : cellulosic ethanol CCS level 2;biomass liquids : biomass liquids : FT biofuels;biomass liquids : biomass liquids : FT biofuels CCS level 1;biomass liquids : biomass liquids : FT biofuels CCS level 2;
#Parameter: Shareweight
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2020 , 0.0100
#Table data:2025 , 0.0157
#Table data:2030 , 0.0214
#Table data:2035 , 0.0271
#Table data:2040 , 0.0329
#Table data:2045 , 0.0386
#Table data:2050 , 0.0443
#Table data:2055 , 0.0500
#################################################
INPUT_TABLE
Variable ID
GLIMPSEStubTechShrwt

region,sector,subsector1=>subsector2,technology,year,data
AK,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
AK,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
AK,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
AK,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
AK,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
AK,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
AK,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
AK,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
AL,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
AL,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
AL,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
AL,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
AL,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
AL,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
AL,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
AL,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
AR,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
AR,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
AR,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
AR,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
AR,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
AR,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
AR,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
AR,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
AZ,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
AZ,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
AZ,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
AZ,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
AZ,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
AZ,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
AZ,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
AZ,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
CA,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
CA,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
CA,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
CA,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
CA,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
CA,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
CA,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
CA,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
CO,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
CO,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
CO,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
CO,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
CO,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
CO,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
CO,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
CO,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
CT,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
CT,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
CT,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
CT,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
CT,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
CT,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
CT,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
CT,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
DC,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
DC,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
DC,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
DC,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
DC,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
DC,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
DC,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
DC,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
DE,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
DE,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
DE,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
DE,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
DE,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
DE,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
DE,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
DE,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
FL,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
FL,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
FL,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
FL,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
FL,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
FL,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
FL,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
FL,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
GA,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
GA,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
GA,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
GA,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
GA,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
GA,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
GA,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
GA,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
HI,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
HI,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
HI,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
HI,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
HI,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
HI,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
HI,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
HI,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
IA,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
IA,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
IA,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
IA,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
IA,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
IA,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
IA,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
IA,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
ID,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
ID,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
ID,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
ID,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
ID,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
ID,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
ID,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
ID,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
IL,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
IL,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
IL,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
IL,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
IL,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
IL,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
IL,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
IL,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
IN,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
IN,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
IN,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
IN,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
IN,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
IN,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
IN,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
IN,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
KS,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
KS,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
KS,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
KS,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
KS,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
KS,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
KS,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
KS,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
KY,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
KY,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
KY,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
KY,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
KY,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
KY,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
KY,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
KY,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
LA,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
LA,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
LA,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
LA,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
LA,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
LA,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
LA,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
LA,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
MA,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
MA,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
MA,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
MA,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
MA,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
MA,biomass liquids,biomass liquids,cellulosic ethanol,2045,0.0386
MA,biomass liquids,biomass liquids,cellulosic ethanol,2050,0.0443
MA,biomass liquids,biomass liquids,cellulosic ethanol,2055,0.0500
MD,biomass liquids,biomass liquids,cellulosic ethanol,2020,0.0100
MD,biomass liquids,biomass liquids,cellulosic ethanol,2025,0.0157
MD,biomass liquids,biomass liquids,cellulosic ethanol,2030,0.0214
MD,biomass liquids,biomass liquids,cellulosic ethanol,2035,0.0271
MD,biomass liquids,biomass liquids,cellulosic ethanol,2040,0.0329
