########## Scenario Component Metadata ##########
#Scenario component type: Tech Bound
#Sector: base load generation
#Technologies: nuclear=>nuc_base_Gen II : Gen_II_LWR (cooling pond) : EJ;nuclear=>nuc_base_Gen II : Gen_II_LWR (once through) : EJ;nuclear=>nuc_base_Gen II : Gen_II_LWR (recirculating) : EJ;nuclear=>nuc_base_Gen II : Gen_II_LWR (seawater) : EJ;nuclear=>nuc_base_Gen III : Gen_III (cooling pond) : EJ;nuclear=>nuc_base_Gen III : Gen_III (recirculating) : EJ;nuclear=>nuc_base_Gen III : Gen_III (seawater) : EJ;
#Constraint: Upper
#Treatment: Across Selected
#Policy name: Up_Base_load_generation_Tech_Reg
#Market name: Up_Base_load_generation_Tech_Reg_Mkt1
#Regions: CT,MA,ME,NH,RI,VT
#Table data:2015     ,     0.119570
#Table data:2020     ,     0.118
#Table data:2025     ,     0.118
#Table data:2030     ,   0.059
#Table data:2035     ,   0.059
#Table data:2040     ,   0.059
#Table data:2045     ,   0.059
#Table data:2050     ,   0.059
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdTechUpBoundP1-Nest

region,sector,nested-subsector,subsector,tech,year,policy-name
CT,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2015,Up_Base_load_generation_Tech_Reg1
CT,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2020,Up_Base_load_generation_Tech_Reg1
CT,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2025,Up_Base_load_generation_Tech_Reg1
CT,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2030,Up_Base_load_generation_Tech_Reg1
CT,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2035,Up_Base_load_generation_Tech_Reg1
CT,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2040,Up_Base_load_generation_Tech_Reg1
CT,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2045,Up_Base_load_generation_Tech_Reg1
CT,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2050,Up_Base_load_generation_Tech_Reg1
MA,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2015,Up_Base_load_generation_Tech_Reg1
MA,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2020,Up_Base_load_generation_Tech_Reg1
MA,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2025,Up_Base_load_generation_Tech_Reg1
MA,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2030,Up_Base_load_generation_Tech_Reg1
MA,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2035,Up_Base_load_generation_Tech_Reg1
MA,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2040,Up_Base_load_generation_Tech_Reg1
MA,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2045,Up_Base_load_generation_Tech_Reg1
MA,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2050,Up_Base_load_generation_Tech_Reg1
ME,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2015,Up_Base_load_generation_Tech_Reg1
ME,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2020,Up_Base_load_generation_Tech_Reg1
ME,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2025,Up_Base_load_generation_Tech_Reg1
ME,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2030,Up_Base_load_generation_Tech_Reg1
ME,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2035,Up_Base_load_generation_Tech_Reg1
ME,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2040,Up_Base_load_generation_Tech_Reg1
ME,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2045,Up_Base_load_generation_Tech_Reg1
ME,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2050,Up_Base_load_generation_Tech_Reg1
NH,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2015,Up_Base_load_generation_Tech_Reg1
NH,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2020,Up_Base_load_generation_Tech_Reg1
NH,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2025,Up_Base_load_generation_Tech_Reg1
NH,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2030,Up_Base_load_generation_Tech_Reg1
NH,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2035,Up_Base_load_generation_Tech_Reg1
NH,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2040,Up_Base_load_generation_Tech_Reg1
NH,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2045,Up_Base_load_generation_Tech_Reg1
NH,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2050,Up_Base_load_generation_Tech_Reg1
RI,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2015,Up_Base_load_generation_Tech_Reg1
RI,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2020,Up_Base_load_generation_Tech_Reg1
RI,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2025,Up_Base_load_generation_Tech_Reg1
RI,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2030,Up_Base_load_generation_Tech_Reg1
RI,base load generation,nuclear,nuc_base_Gen II,Gen_II_LWR (cooling pond),2035,Up_Base_load_generation_Tech_Reg1
