########## Scenario Component Metadata ##########
#Scenario component type: Pollutant Tax/Cap
#Measure: Emission Cap (Mt)
#Pollutant: CO2 (MT C)
#Sector: Industry-All
#Policy name: Cap_Industry-All_CO2_MN1753295989927
#Market name: Cap_Industry-All_CO2_MN_Mkt1753295989927
#Regions: MN
#Table data:2030    , 40
#Table data:2040    , 22
#Table data:2047    , 12
#Table data:2057    , 2
#################################################
INPUT_TABLE
Variable ID
GLIMPSEEmissionCap

region,pollutant,market,year,cap
MN,Cap_Industry-All_CO2_MN_Mkt1753295989927,Cap_Industry-All_CO2_MN_Mkt1753295989927,2030,40
MN,Cap_Industry-All_CO2_MN_Mkt1753295989927,Cap_Industry-All_CO2_MN_Mkt1753295989927,2040,22
MN,Cap_Industry-All_CO2_MN_Mkt1753295989927,Cap_Industry-All_CO2_MN_Mkt1753295989927,2047,12
MN,Cap_Industry-All_CO2_MN_Mkt1753295989927,Cap_Industry-All_CO2_MN_Mkt1753295989927,2057,2

INPUT_TABLE
Variable ID
GLIMPSEAddCO2Subspecies

region,supplysector,subsector,technology,year,pollutant
MN,other industrial energy use,biomass,biomass,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass cogen,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass cogen,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass cogen,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass cogen,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass cogen,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass cogen,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass cogen,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass cogen,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass cogen,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,biomass,biomass cogen,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal,2015,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal,2020,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal,2025,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal,2030,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal,2035,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal,2040,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal,2045,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal,2050,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal,2055,Cap_Industry-All_CO2_MN_Mkt1753295989927
MN,other industrial energy use,coal,coal cogen,2010,Cap_Industry-All_CO2_MN_Mkt1753295989927
