########## Scenario Component Metadata ##########
#Scenario component type: Pollutant Tax/Cap
#Measure: Emission Cap (Mt)
#Pollutant: CO2 (MT C)
#Sector: Trn-All
#Policy name: Cap_Trn-All_CO2_MN1753296654423
#Market name: Cap_Trn-All_CO2_MN_Mkt1753296654423
#Regions: MN
#Table data:2015 , 45
#Table data:2025 , 31.5
#Table data:2030 , 22.5
#Table data:2035 , 15.75
#Table data:2040 , 9
#Table data:2045 , 4.5
#################################################
INPUT_TABLE
Variable ID
GLIMPSEEmissionCap

region,pollutant,market,year,cap
MN,Cap_Trn-All_CO2_MN_Mkt1753296654423,Cap_Trn-All_CO2_MN_Mkt1753296654423,2015,45
MN,Cap_Trn-All_CO2_MN_Mkt1753296654423,Cap_Trn-All_CO2_MN_Mkt1753296654423,2025,31.5
MN,Cap_Trn-All_CO2_MN_Mkt1753296654423,Cap_Trn-All_CO2_MN_Mkt1753296654423,2030,22.5
MN,Cap_Trn-All_CO2_MN_Mkt1753296654423,Cap_Trn-All_CO2_MN_Mkt1753296654423,2035,15.75
MN,Cap_Trn-All_CO2_MN_Mkt1753296654423,Cap_Trn-All_CO2_MN_Mkt1753296654423,2040,9
MN,Cap_Trn-All_CO2_MN_Mkt1753296654423,Cap_Trn-All_CO2_MN_Mkt1753296654423,2045,4.5

INPUT_TABLE
Variable ID
GLIMPSEAddCO2Subspecies

region,supplysector,subsector,technology,year,pollutant
MN,trn_freight_road,Heavy truck,BEV,2010,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,BEV,2015,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,BEV,2020,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,BEV,2025,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,BEV,2030,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,BEV,2035,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,BEV,2040,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,BEV,2045,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,FCEV,2010,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,FCEV,2015,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,FCEV,2020,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,FCEV,2025,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,FCEV,2030,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,FCEV,2035,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,FCEV,2040,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,FCEV,2045,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,Hybrid Liquids,2010,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,Hybrid Liquids,2015,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,Hybrid Liquids,2020,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,Hybrid Liquids,2025,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,Hybrid Liquids,2030,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,Hybrid Liquids,2035,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,Hybrid Liquids,2040,Cap_Trn-All_CO2_MN_Mkt1753296654423
MN,trn_freight_road,Heavy truck,Hybrid Liquids,2045,Cap_Trn-All_CO2_MN_Mkt1753296654423
