############ Scenario Component Meta-Data ############
#Scenario component type: Tech Avail
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_freight_road  :  Heavy truck  :  Hybrid Liquids  :  million ton-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_freight_road  :  Heavy truck  :  Liquids  :  million ton-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_freight_road  :  Heavy truck  :  NG  :  million ton-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_freight_road  :  Medium truck  :  Hybrid Liquids  :  million ton-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_freight_road  :  Medium truck  :  Liquids  :  million ton-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_freight_road  :  Medium truck  :  NG  :  million ton-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_freight_road  :  Light truck  :  Hybrid Liquids  :  million ton-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_freight_road  :  Light truck  :  Liquids  :  million ton-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_freight_road  :  Light truck  :  NG  :  million ton-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_pass_road_LDV_4W  :  Car  :  Hybrid Liquids  :  million pass-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_pass_road_LDV_4W  :  Car  :  Liquids  :  million pass-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_pass_road_LDV_4W  :  Car  :  NG  :  million pass-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_pass_road_LDV_4W  :  Large Car and Truck  :  Hybrid Liquids  :  million pass-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_pass_road_LDV_4W  :  Large Car and Truck  :  Liquids  :  million pass-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_pass_road_LDV_4W  :  Large Car and Truck  :  NG  :  million pass-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_pass_road_LDV_4W  :  Mini Car  :  Hybrid Liquids  :  million pass-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_pass_road_LDV_4W  :  Mini Car  :  Liquids  :  million pass-km
#Bound:Never>false,Range>true,First>1975,Last>2045,Tech>trn_pass_road_LDV_4W  :  Mini Car  :  NG  :  million pass-km
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
######################################################
INPUT_TABLE
Variable ID
GLIMPSEStubTechShrwt

region,sector,subsector,tech,year,value
AK,trn_freight_road,Heavy truck,Hybrid Liquids,2050,0.0
AK,trn_freight_road,Heavy truck,Hybrid Liquids,2055,0.0
AK,trn_freight_road,Heavy truck,Hybrid Liquids,2060,0.0
AK,trn_freight_road,Heavy truck,Hybrid Liquids,2065,0.0
AK,trn_freight_road,Heavy truck,Hybrid Liquids,2070,0.0
AK,trn_freight_road,Heavy truck,Hybrid Liquids,2075,0.0
AK,trn_freight_road,Heavy truck,Hybrid Liquids,2080,0.0
AK,trn_freight_road,Heavy truck,Hybrid Liquids,2085,0.0
AK,trn_freight_road,Heavy truck,Hybrid Liquids,2090,0.0
AK,trn_freight_road,Heavy truck,Hybrid Liquids,2095,0.0
AK,trn_freight_road,Heavy truck,Hybrid Liquids,2100,0.0
AL,trn_freight_road,Heavy truck,Hybrid Liquids,2050,0.0
AL,trn_freight_road,Heavy truck,Hybrid Liquids,2055,0.0
AL,trn_freight_road,Heavy truck,Hybrid Liquids,2060,0.0
AL,trn_freight_road,Heavy truck,Hybrid Liquids,2065,0.0
AL,trn_freight_road,Heavy truck,Hybrid Liquids,2070,0.0
AL,trn_freight_road,Heavy truck,Hybrid Liquids,2075,0.0
AL,trn_freight_road,Heavy truck,Hybrid Liquids,2080,0.0
AL,trn_freight_road,Heavy truck,Hybrid Liquids,2085,0.0
AL,trn_freight_road,Heavy truck,Hybrid Liquids,2090,0.0
AL,trn_freight_road,Heavy truck,Hybrid Liquids,2095,0.0
AL,trn_freight_road,Heavy truck,Hybrid Liquids,2100,0.0
AR,trn_freight_road,Heavy truck,Hybrid Liquids,2050,0.0
AR,trn_freight_road,Heavy truck,Hybrid Liquids,2055,0.0
AR,trn_freight_road,Heavy truck,Hybrid Liquids,2060,0.0
AR,trn_freight_road,Heavy truck,Hybrid Liquids,2065,0.0
AR,trn_freight_road,Heavy truck,Hybrid Liquids,2070,0.0
AR,trn_freight_road,Heavy truck,Hybrid Liquids,2075,0.0
AR,trn_freight_road,Heavy truck,Hybrid Liquids,2080,0.0
AR,trn_freight_road,Heavy truck,Hybrid Liquids,2085,0.0
AR,trn_freight_road,Heavy truck,Hybrid Liquids,2090,0.0
AR,trn_freight_road,Heavy truck,Hybrid Liquids,2095,0.0
AR,trn_freight_road,Heavy truck,Hybrid Liquids,2100,0.0
AZ,trn_freight_road,Heavy truck,Hybrid Liquids,2050,0.0
AZ,trn_freight_road,Heavy truck,Hybrid Liquids,2055,0.0
AZ,trn_freight_road,Heavy truck,Hybrid Liquids,2060,0.0
AZ,trn_freight_road,Heavy truck,Hybrid Liquids,2065,0.0
AZ,trn_freight_road,Heavy truck,Hybrid Liquids,2070,0.0
AZ,trn_freight_road,Heavy truck,Hybrid Liquids,2075,0.0
AZ,trn_freight_road,Heavy truck,Hybrid Liquids,2080,0.0
AZ,trn_freight_road,Heavy truck,Hybrid Liquids,2085,0.0
AZ,trn_freight_road,Heavy truck,Hybrid Liquids,2090,0.0
AZ,trn_freight_road,Heavy truck,Hybrid Liquids,2095,0.0
AZ,trn_freight_road,Heavy truck,Hybrid Liquids,2100,0.0
