########## Scenario Component Metadata ##########
#Scenario component type: Market Share
#Type: LDV-EV (4W)
#Subset: trn_pass_road_LDV_4W : Car : BEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Car : FCEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : BEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : FCEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : BEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : FCEV : million pass-km : Trn-Onroad;
#Superset: trn_pass_road_LDV_4W : Car : BEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Car : FCEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Car : Hybrid Liquids : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Car : Liquids : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Car : NG : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : BEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : FCEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : Hybrid Liquids : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : Liquids : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : NG : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : BEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : FCEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : Hybrid Liquids : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : Liquids : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : NG : million pass-km : Trn-Onroad;
#Applied to: New Purchases
#Treatment: Each Selected Region
#Constraint: Lower
#Policy name: LDV-EV-4W_New_Reg_Ea
#Market name: LDV-EV-4W_New_Reg_Ea_Mkt
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2025 , 0.167
#Table data:2030 , 0.333
#Table data:2035 , 0.500
#Table data:2040 , 0.667
#Table data:2045 , 0.833
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdActivate

region,policy,market,type,year,constrained
AK,AK_LDV-EV-4W_New_Reg_Ea-2025,AK_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
AK,AK_LDV-EV-4W_New_Reg_Ea-2030,AK_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
AK,AK_LDV-EV-4W_New_Reg_Ea-2035,AK_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
AK,AK_LDV-EV-4W_New_Reg_Ea-2040,AK_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
AK,AK_LDV-EV-4W_New_Reg_Ea-2045,AK_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
AL,AL_LDV-EV-4W_New_Reg_Ea-2025,AL_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
AL,AL_LDV-EV-4W_New_Reg_Ea-2030,AL_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
AL,AL_LDV-EV-4W_New_Reg_Ea-2035,AL_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
AL,AL_LDV-EV-4W_New_Reg_Ea-2040,AL_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
AL,AL_LDV-EV-4W_New_Reg_Ea-2045,AL_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
AR,AR_LDV-EV-4W_New_Reg_Ea-2025,AR_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
AR,AR_LDV-EV-4W_New_Reg_Ea-2030,AR_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
AR,AR_LDV-EV-4W_New_Reg_Ea-2035,AR_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
AR,AR_LDV-EV-4W_New_Reg_Ea-2040,AR_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
AR,AR_LDV-EV-4W_New_Reg_Ea-2045,AR_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
AZ,AZ_LDV-EV-4W_New_Reg_Ea-2025,AZ_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
AZ,AZ_LDV-EV-4W_New_Reg_Ea-2030,AZ_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
AZ,AZ_LDV-EV-4W_New_Reg_Ea-2035,AZ_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
AZ,AZ_LDV-EV-4W_New_Reg_Ea-2040,AZ_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
AZ,AZ_LDV-EV-4W_New_Reg_Ea-2045,AZ_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
CA,CA_LDV-EV-4W_New_Reg_Ea-2025,CA_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
CA,CA_LDV-EV-4W_New_Reg_Ea-2030,CA_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
CA,CA_LDV-EV-4W_New_Reg_Ea-2035,CA_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
CA,CA_LDV-EV-4W_New_Reg_Ea-2040,CA_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
CA,CA_LDV-EV-4W_New_Reg_Ea-2045,CA_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
CO,CO_LDV-EV-4W_New_Reg_Ea-2025,CO_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
CO,CO_LDV-EV-4W_New_Reg_Ea-2030,CO_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
CO,CO_LDV-EV-4W_New_Reg_Ea-2035,CO_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
CO,CO_LDV-EV-4W_New_Reg_Ea-2040,CO_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
CO,CO_LDV-EV-4W_New_Reg_Ea-2045,CO_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
CT,CT_LDV-EV-4W_New_Reg_Ea-2025,CT_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
CT,CT_LDV-EV-4W_New_Reg_Ea-2030,CT_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
CT,CT_LDV-EV-4W_New_Reg_Ea-2035,CT_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
CT,CT_LDV-EV-4W_New_Reg_Ea-2040,CT_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
CT,CT_LDV-EV-4W_New_Reg_Ea-2045,CT_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
DC,DC_LDV-EV-4W_New_Reg_Ea-2025,DC_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
DC,DC_LDV-EV-4W_New_Reg_Ea-2030,DC_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
DC,DC_LDV-EV-4W_New_Reg_Ea-2035,DC_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
DC,DC_LDV-EV-4W_New_Reg_Ea-2040,DC_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
DC,DC_LDV-EV-4W_New_Reg_Ea-2045,DC_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
DE,DE_LDV-EV-4W_New_Reg_Ea-2025,DE_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
DE,DE_LDV-EV-4W_New_Reg_Ea-2030,DE_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
DE,DE_LDV-EV-4W_New_Reg_Ea-2035,DE_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
DE,DE_LDV-EV-4W_New_Reg_Ea-2040,DE_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
DE,DE_LDV-EV-4W_New_Reg_Ea-2045,DE_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
FL,FL_LDV-EV-4W_New_Reg_Ea-2025,FL_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
FL,FL_LDV-EV-4W_New_Reg_Ea-2030,FL_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
FL,FL_LDV-EV-4W_New_Reg_Ea-2035,FL_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
FL,FL_LDV-EV-4W_New_Reg_Ea-2040,FL_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
FL,FL_LDV-EV-4W_New_Reg_Ea-2045,FL_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
GA,GA_LDV-EV-4W_New_Reg_Ea-2025,GA_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
GA,GA_LDV-EV-4W_New_Reg_Ea-2030,GA_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
GA,GA_LDV-EV-4W_New_Reg_Ea-2035,GA_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
GA,GA_LDV-EV-4W_New_Reg_Ea-2040,GA_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
GA,GA_LDV-EV-4W_New_Reg_Ea-2045,GA_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
HI,HI_LDV-EV-4W_New_Reg_Ea-2025,HI_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
HI,HI_LDV-EV-4W_New_Reg_Ea-2030,HI_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
HI,HI_LDV-EV-4W_New_Reg_Ea-2035,HI_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
HI,HI_LDV-EV-4W_New_Reg_Ea-2040,HI_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
HI,HI_LDV-EV-4W_New_Reg_Ea-2045,HI_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
IA,IA_LDV-EV-4W_New_Reg_Ea-2025,IA_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
IA,IA_LDV-EV-4W_New_Reg_Ea-2030,IA_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
IA,IA_LDV-EV-4W_New_Reg_Ea-2035,IA_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
IA,IA_LDV-EV-4W_New_Reg_Ea-2040,IA_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
IA,IA_LDV-EV-4W_New_Reg_Ea-2045,IA_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
ID,ID_LDV-EV-4W_New_Reg_Ea-2025,ID_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
ID,ID_LDV-EV-4W_New_Reg_Ea-2030,ID_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
ID,ID_LDV-EV-4W_New_Reg_Ea-2035,ID_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
ID,ID_LDV-EV-4W_New_Reg_Ea-2040,ID_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
ID,ID_LDV-EV-4W_New_Reg_Ea-2045,ID_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
IL,IL_LDV-EV-4W_New_Reg_Ea-2025,IL_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
IL,IL_LDV-EV-4W_New_Reg_Ea-2030,IL_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
IL,IL_LDV-EV-4W_New_Reg_Ea-2035,IL_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
IL,IL_LDV-EV-4W_New_Reg_Ea-2040,IL_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
IL,IL_LDV-EV-4W_New_Reg_Ea-2045,IL_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
IN,IN_LDV-EV-4W_New_Reg_Ea-2025,IN_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
IN,IN_LDV-EV-4W_New_Reg_Ea-2030,IN_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
IN,IN_LDV-EV-4W_New_Reg_Ea-2035,IN_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
IN,IN_LDV-EV-4W_New_Reg_Ea-2040,IN_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
IN,IN_LDV-EV-4W_New_Reg_Ea-2045,IN_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
KS,KS_LDV-EV-4W_New_Reg_Ea-2025,KS_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
KS,KS_LDV-EV-4W_New_Reg_Ea-2030,KS_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
KS,KS_LDV-EV-4W_New_Reg_Ea-2035,KS_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
KS,KS_LDV-EV-4W_New_Reg_Ea-2040,KS_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
KS,KS_LDV-EV-4W_New_Reg_Ea-2045,KS_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
KY,KY_LDV-EV-4W_New_Reg_Ea-2025,KY_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
KY,KY_LDV-EV-4W_New_Reg_Ea-2030,KY_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
KY,KY_LDV-EV-4W_New_Reg_Ea-2035,KY_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
KY,KY_LDV-EV-4W_New_Reg_Ea-2040,KY_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
KY,KY_LDV-EV-4W_New_Reg_Ea-2045,KY_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
LA,LA_LDV-EV-4W_New_Reg_Ea-2025,LA_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
LA,LA_LDV-EV-4W_New_Reg_Ea-2030,LA_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
LA,LA_LDV-EV-4W_New_Reg_Ea-2035,LA_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
LA,LA_LDV-EV-4W_New_Reg_Ea-2040,LA_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
LA,LA_LDV-EV-4W_New_Reg_Ea-2045,LA_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
MA,MA_LDV-EV-4W_New_Reg_Ea-2025,MA_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
MA,MA_LDV-EV-4W_New_Reg_Ea-2030,MA_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
MA,MA_LDV-EV-4W_New_Reg_Ea-2035,MA_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
MA,MA_LDV-EV-4W_New_Reg_Ea-2040,MA_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
MA,MA_LDV-EV-4W_New_Reg_Ea-2045,MA_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
MD,MD_LDV-EV-4W_New_Reg_Ea-2025,MD_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
MD,MD_LDV-EV-4W_New_Reg_Ea-2030,MD_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
MD,MD_LDV-EV-4W_New_Reg_Ea-2035,MD_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
MD,MD_LDV-EV-4W_New_Reg_Ea-2040,MD_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
MD,MD_LDV-EV-4W_New_Reg_Ea-2045,MD_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
ME,ME_LDV-EV-4W_New_Reg_Ea-2025,ME_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
ME,ME_LDV-EV-4W_New_Reg_Ea-2030,ME_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
ME,ME_LDV-EV-4W_New_Reg_Ea-2035,ME_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
ME,ME_LDV-EV-4W_New_Reg_Ea-2040,ME_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
ME,ME_LDV-EV-4W_New_Reg_Ea-2045,ME_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
MI,MI_LDV-EV-4W_New_Reg_Ea-2025,MI_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
MI,MI_LDV-EV-4W_New_Reg_Ea-2030,MI_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
MI,MI_LDV-EV-4W_New_Reg_Ea-2035,MI_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
MI,MI_LDV-EV-4W_New_Reg_Ea-2040,MI_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
MI,MI_LDV-EV-4W_New_Reg_Ea-2045,MI_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
MN,MN_LDV-EV-4W_New_Reg_Ea-2025,MN_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
MN,MN_LDV-EV-4W_New_Reg_Ea-2030,MN_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
MN,MN_LDV-EV-4W_New_Reg_Ea-2035,MN_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
MN,MN_LDV-EV-4W_New_Reg_Ea-2040,MN_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
MN,MN_LDV-EV-4W_New_Reg_Ea-2045,MN_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
MO,MO_LDV-EV-4W_New_Reg_Ea-2025,MO_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
MO,MO_LDV-EV-4W_New_Reg_Ea-2030,MO_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
MO,MO_LDV-EV-4W_New_Reg_Ea-2035,MO_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
MO,MO_LDV-EV-4W_New_Reg_Ea-2040,MO_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
MO,MO_LDV-EV-4W_New_Reg_Ea-2045,MO_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
MS,MS_LDV-EV-4W_New_Reg_Ea-2025,MS_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
MS,MS_LDV-EV-4W_New_Reg_Ea-2030,MS_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
MS,MS_LDV-EV-4W_New_Reg_Ea-2035,MS_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
MS,MS_LDV-EV-4W_New_Reg_Ea-2040,MS_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
MS,MS_LDV-EV-4W_New_Reg_Ea-2045,MS_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
MT,MT_LDV-EV-4W_New_Reg_Ea-2025,MT_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
MT,MT_LDV-EV-4W_New_Reg_Ea-2030,MT_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
MT,MT_LDV-EV-4W_New_Reg_Ea-2035,MT_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
MT,MT_LDV-EV-4W_New_Reg_Ea-2040,MT_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
MT,MT_LDV-EV-4W_New_Reg_Ea-2045,MT_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
NC,NC_LDV-EV-4W_New_Reg_Ea-2025,NC_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
NC,NC_LDV-EV-4W_New_Reg_Ea-2030,NC_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
NC,NC_LDV-EV-4W_New_Reg_Ea-2035,NC_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
NC,NC_LDV-EV-4W_New_Reg_Ea-2040,NC_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
NC,NC_LDV-EV-4W_New_Reg_Ea-2045,NC_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
ND,ND_LDV-EV-4W_New_Reg_Ea-2025,ND_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
ND,ND_LDV-EV-4W_New_Reg_Ea-2030,ND_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
ND,ND_LDV-EV-4W_New_Reg_Ea-2035,ND_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
ND,ND_LDV-EV-4W_New_Reg_Ea-2040,ND_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
ND,ND_LDV-EV-4W_New_Reg_Ea-2045,ND_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
NE,NE_LDV-EV-4W_New_Reg_Ea-2025,NE_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
NE,NE_LDV-EV-4W_New_Reg_Ea-2030,NE_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
NE,NE_LDV-EV-4W_New_Reg_Ea-2035,NE_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
NE,NE_LDV-EV-4W_New_Reg_Ea-2040,NE_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
NE,NE_LDV-EV-4W_New_Reg_Ea-2045,NE_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
NH,NH_LDV-EV-4W_New_Reg_Ea-2025,NH_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
NH,NH_LDV-EV-4W_New_Reg_Ea-2030,NH_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
NH,NH_LDV-EV-4W_New_Reg_Ea-2035,NH_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
NH,NH_LDV-EV-4W_New_Reg_Ea-2040,NH_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
NH,NH_LDV-EV-4W_New_Reg_Ea-2045,NH_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
NJ,NJ_LDV-EV-4W_New_Reg_Ea-2025,NJ_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
NJ,NJ_LDV-EV-4W_New_Reg_Ea-2030,NJ_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
NJ,NJ_LDV-EV-4W_New_Reg_Ea-2035,NJ_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
NJ,NJ_LDV-EV-4W_New_Reg_Ea-2040,NJ_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
NJ,NJ_LDV-EV-4W_New_Reg_Ea-2045,NJ_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
NM,NM_LDV-EV-4W_New_Reg_Ea-2025,NM_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
NM,NM_LDV-EV-4W_New_Reg_Ea-2030,NM_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
NM,NM_LDV-EV-4W_New_Reg_Ea-2035,NM_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
NM,NM_LDV-EV-4W_New_Reg_Ea-2040,NM_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
NM,NM_LDV-EV-4W_New_Reg_Ea-2045,NM_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
NV,NV_LDV-EV-4W_New_Reg_Ea-2025,NV_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
NV,NV_LDV-EV-4W_New_Reg_Ea-2030,NV_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
NV,NV_LDV-EV-4W_New_Reg_Ea-2035,NV_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
NV,NV_LDV-EV-4W_New_Reg_Ea-2040,NV_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
NV,NV_LDV-EV-4W_New_Reg_Ea-2045,NV_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
NY,NY_LDV-EV-4W_New_Reg_Ea-2025,NY_LDV-EV-4W_New_Reg_Ea_Mkt-2025,RES,2025,1
NY,NY_LDV-EV-4W_New_Reg_Ea-2030,NY_LDV-EV-4W_New_Reg_Ea_Mkt-2030,RES,2030,1
NY,NY_LDV-EV-4W_New_Reg_Ea-2035,NY_LDV-EV-4W_New_Reg_Ea_Mkt-2035,RES,2035,1
NY,NY_LDV-EV-4W_New_Reg_Ea-2040,NY_LDV-EV-4W_New_Reg_Ea_Mkt-2040,RES,2040,1
NY,NY_LDV-EV-4W_New_Reg_Ea-2045,NY_LDV-EV-4W_New_Reg_Ea_Mkt-2045,RES,2045,1
