########## Scenario Component Metadata ##########
#Scenario component type: Pollutant Tax/Cap
#Measure: Emission Cap (Mt)
#Pollutant: CO2 (MT C)
#Sector: All
#Policy name: Cap_All_CO2_Reg6
#Market name: Cap_All_CO2_Reg_Mkt6
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2020 , 1350
#Table data:2025 , 1120
#Table data:2030 , 899
#Table data:2035 , 675
#Table data:2040 , 450
#Table data:2045 , 225
#Table data:2050 , 0.00
#################################################
INPUT_TABLE
Variable ID
GLIMPSEEmissionCap

region,pollutant,market,year,cap
AK,CO2,Cap_All_CO2_Reg_Mkt6,2020,1350
AK,CO2,Cap_All_CO2_Reg_Mkt6,2025,1120
AK,CO2,Cap_All_CO2_Reg_Mkt6,2030,899
AK,CO2,Cap_All_CO2_Reg_Mkt6,2035,675
AK,CO2,Cap_All_CO2_Reg_Mkt6,2040,450
AK,CO2,Cap_All_CO2_Reg_Mkt6,2045,225
AK,CO2,Cap_All_CO2_Reg_Mkt6,2050,0.00

INPUT_TABLE
Variable ID
GLIMPSEEmissionMarket

region,pollutant,market
AL,CO2,Cap_All_CO2_Reg_Mkt6
AR,CO2,Cap_All_CO2_Reg_Mkt6
AZ,CO2,Cap_All_CO2_Reg_Mkt6
CA,CO2,Cap_All_CO2_Reg_Mkt6
CO,CO2,Cap_All_CO2_Reg_Mkt6
CT,CO2,Cap_All_CO2_Reg_Mkt6
DC,CO2,Cap_All_CO2_Reg_Mkt6
DE,CO2,Cap_All_CO2_Reg_Mkt6
FL,CO2,Cap_All_CO2_Reg_Mkt6
GA,CO2,Cap_All_CO2_Reg_Mkt6
HI,CO2,Cap_All_CO2_Reg_Mkt6
IA,CO2,Cap_All_CO2_Reg_Mkt6
ID,CO2,Cap_All_CO2_Reg_Mkt6
IL,CO2,Cap_All_CO2_Reg_Mkt6
IN,CO2,Cap_All_CO2_Reg_Mkt6
KS,CO2,Cap_All_CO2_Reg_Mkt6
KY,CO2,Cap_All_CO2_Reg_Mkt6
LA,CO2,Cap_All_CO2_Reg_Mkt6
MA,CO2,Cap_All_CO2_Reg_Mkt6
MD,CO2,Cap_All_CO2_Reg_Mkt6
ME,CO2,Cap_All_CO2_Reg_Mkt6
MI,CO2,Cap_All_CO2_Reg_Mkt6
MN,CO2,Cap_All_CO2_Reg_Mkt6
MO,CO2,Cap_All_CO2_Reg_Mkt6
MS,CO2,Cap_All_CO2_Reg_Mkt6
MT,CO2,Cap_All_CO2_Reg_Mkt6
NC,CO2,Cap_All_CO2_Reg_Mkt6
ND,CO2,Cap_All_CO2_Reg_Mkt6
NE,CO2,Cap_All_CO2_Reg_Mkt6
NH,CO2,Cap_All_CO2_Reg_Mkt6
NJ,CO2,Cap_All_CO2_Reg_Mkt6
NM,CO2,Cap_All_CO2_Reg_Mkt6
NV,CO2,Cap_All_CO2_Reg_Mkt6
NY,CO2,Cap_All_CO2_Reg_Mkt6
OH,CO2,Cap_All_CO2_Reg_Mkt6
OK,CO2,Cap_All_CO2_Reg_Mkt6
OR,CO2,Cap_All_CO2_Reg_Mkt6
PA,CO2,Cap_All_CO2_Reg_Mkt6
RI,CO2,Cap_All_CO2_Reg_Mkt6
SC,CO2,Cap_All_CO2_Reg_Mkt6
SD,CO2,Cap_All_CO2_Reg_Mkt6
TN,CO2,Cap_All_CO2_Reg_Mkt6
TX,CO2,Cap_All_CO2_Reg_Mkt6
UT,CO2,Cap_All_CO2_Reg_Mkt6
VA,CO2,Cap_All_CO2_Reg_Mkt6
VT,CO2,Cap_All_CO2_Reg_Mkt6
WA,CO2,Cap_All_CO2_Reg_Mkt6
WI,CO2,Cap_All_CO2_Reg_Mkt6
WV,CO2,Cap_All_CO2_Reg_Mkt6
WY,CO2,Cap_All_CO2_Reg_Mkt6
USA,CO2,Cap_All_CO2_Reg_Mkt6
