########## Scenario Component Metadata ##########
#Scenario component type: Pollutant Tax/Cap
#Measure: Emission Cap (Mt)
#Pollutant: CO2 (MT C)
#Sector: All
#Policy name: Cap_All_CO2_Reg7
#Market name: Cap_All_CO2_Reg_Mkt7
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2025   ,   1170
#Table data:2030   ,   990
#Table data:2035   ,   810
#Table data:2040   ,   630
#Table data:2045   ,   450
#Table data:2050   ,   270
#Table data:2055 , 270
#################################################
INPUT_TABLE
Variable ID
GLIMPSEEmissionCap

region,pollutant,market,year,cap
AK,CO2,Cap_All_CO2_Reg_Mkt7,2025,1170
AK,CO2,Cap_All_CO2_Reg_Mkt7,2030,990
AK,CO2,Cap_All_CO2_Reg_Mkt7,2035,810
AK,CO2,Cap_All_CO2_Reg_Mkt7,2040,630
AK,CO2,Cap_All_CO2_Reg_Mkt7,2045,450
AK,CO2,Cap_All_CO2_Reg_Mkt7,2050,270
AK,CO2,Cap_All_CO2_Reg_Mkt7,2055,270

INPUT_TABLE
Variable ID
GLIMPSEEmissionMarket

region,pollutant,market
AL,CO2,Cap_All_CO2_Reg_Mkt7
AR,CO2,Cap_All_CO2_Reg_Mkt7
AZ,CO2,Cap_All_CO2_Reg_Mkt7
CA,CO2,Cap_All_CO2_Reg_Mkt7
CO,CO2,Cap_All_CO2_Reg_Mkt7
CT,CO2,Cap_All_CO2_Reg_Mkt7
DC,CO2,Cap_All_CO2_Reg_Mkt7
DE,CO2,Cap_All_CO2_Reg_Mkt7
FL,CO2,Cap_All_CO2_Reg_Mkt7
GA,CO2,Cap_All_CO2_Reg_Mkt7
HI,CO2,Cap_All_CO2_Reg_Mkt7
IA,CO2,Cap_All_CO2_Reg_Mkt7
ID,CO2,Cap_All_CO2_Reg_Mkt7
IL,CO2,Cap_All_CO2_Reg_Mkt7
IN,CO2,Cap_All_CO2_Reg_Mkt7
KS,CO2,Cap_All_CO2_Reg_Mkt7
KY,CO2,Cap_All_CO2_Reg_Mkt7
LA,CO2,Cap_All_CO2_Reg_Mkt7
MA,CO2,Cap_All_CO2_Reg_Mkt7
MD,CO2,Cap_All_CO2_Reg_Mkt7
ME,CO2,Cap_All_CO2_Reg_Mkt7
MI,CO2,Cap_All_CO2_Reg_Mkt7
MN,CO2,Cap_All_CO2_Reg_Mkt7
MO,CO2,Cap_All_CO2_Reg_Mkt7
MS,CO2,Cap_All_CO2_Reg_Mkt7
MT,CO2,Cap_All_CO2_Reg_Mkt7
NC,CO2,Cap_All_CO2_Reg_Mkt7
ND,CO2,Cap_All_CO2_Reg_Mkt7
NE,CO2,Cap_All_CO2_Reg_Mkt7
NH,CO2,Cap_All_CO2_Reg_Mkt7
NJ,CO2,Cap_All_CO2_Reg_Mkt7
NM,CO2,Cap_All_CO2_Reg_Mkt7
NV,CO2,Cap_All_CO2_Reg_Mkt7
NY,CO2,Cap_All_CO2_Reg_Mkt7
OH,CO2,Cap_All_CO2_Reg_Mkt7
OK,CO2,Cap_All_CO2_Reg_Mkt7
OR,CO2,Cap_All_CO2_Reg_Mkt7
PA,CO2,Cap_All_CO2_Reg_Mkt7
RI,CO2,Cap_All_CO2_Reg_Mkt7
SC,CO2,Cap_All_CO2_Reg_Mkt7
SD,CO2,Cap_All_CO2_Reg_Mkt7
TN,CO2,Cap_All_CO2_Reg_Mkt7
TX,CO2,Cap_All_CO2_Reg_Mkt7
UT,CO2,Cap_All_CO2_Reg_Mkt7
VA,CO2,Cap_All_CO2_Reg_Mkt7
VT,CO2,Cap_All_CO2_Reg_Mkt7
WA,CO2,Cap_All_CO2_Reg_Mkt7
WI,CO2,Cap_All_CO2_Reg_Mkt7
WV,CO2,Cap_All_CO2_Reg_Mkt7
WY,CO2,Cap_All_CO2_Reg_Mkt7
USA,CO2,Cap_All_CO2_Reg_Mkt7
