########## Scenario Component Metadata ##########
#Scenario component type: Pollutant Tax/Cap
#Measure: Emission Cap (Mt)
#Pollutant: CO2 (MT C)
#Sector: All
#Policy name: Cap_All_CO2_Reg8
#Market name: Cap_All_CO2_Reg_Mkt8
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2025  ,  1160
#Table data:2030  ,  973
#Table data:2035  ,  784
#Table data:2040  ,  595
#Table data:2045  ,  407
#Table data:2050  ,  218
#################################################
INPUT_TABLE
Variable ID
GLIMPSEEmissionCap

region,pollutant,market,year,cap
AK,CO2,Cap_All_CO2_Reg_Mkt8,2025,1160
AK,CO2,Cap_All_CO2_Reg_Mkt8,2030,973
AK,CO2,Cap_All_CO2_Reg_Mkt8,2035,784
AK,CO2,Cap_All_CO2_Reg_Mkt8,2040,595
AK,CO2,Cap_All_CO2_Reg_Mkt8,2045,407
AK,CO2,Cap_All_CO2_Reg_Mkt8,2050,218

INPUT_TABLE
Variable ID
GLIMPSEEmissionMarket

region,pollutant,market
AL,CO2,Cap_All_CO2_Reg_Mkt8
AR,CO2,Cap_All_CO2_Reg_Mkt8
AZ,CO2,Cap_All_CO2_Reg_Mkt8
CA,CO2,Cap_All_CO2_Reg_Mkt8
CO,CO2,Cap_All_CO2_Reg_Mkt8
CT,CO2,Cap_All_CO2_Reg_Mkt8
DC,CO2,Cap_All_CO2_Reg_Mkt8
DE,CO2,Cap_All_CO2_Reg_Mkt8
FL,CO2,Cap_All_CO2_Reg_Mkt8
GA,CO2,Cap_All_CO2_Reg_Mkt8
HI,CO2,Cap_All_CO2_Reg_Mkt8
IA,CO2,Cap_All_CO2_Reg_Mkt8
ID,CO2,Cap_All_CO2_Reg_Mkt8
IL,CO2,Cap_All_CO2_Reg_Mkt8
IN,CO2,Cap_All_CO2_Reg_Mkt8
KS,CO2,Cap_All_CO2_Reg_Mkt8
KY,CO2,Cap_All_CO2_Reg_Mkt8
LA,CO2,Cap_All_CO2_Reg_Mkt8
MA,CO2,Cap_All_CO2_Reg_Mkt8
MD,CO2,Cap_All_CO2_Reg_Mkt8
ME,CO2,Cap_All_CO2_Reg_Mkt8
MI,CO2,Cap_All_CO2_Reg_Mkt8
MN,CO2,Cap_All_CO2_Reg_Mkt8
MO,CO2,Cap_All_CO2_Reg_Mkt8
MS,CO2,Cap_All_CO2_Reg_Mkt8
MT,CO2,Cap_All_CO2_Reg_Mkt8
NC,CO2,Cap_All_CO2_Reg_Mkt8
ND,CO2,Cap_All_CO2_Reg_Mkt8
NE,CO2,Cap_All_CO2_Reg_Mkt8
NH,CO2,Cap_All_CO2_Reg_Mkt8
NJ,CO2,Cap_All_CO2_Reg_Mkt8
NM,CO2,Cap_All_CO2_Reg_Mkt8
NV,CO2,Cap_All_CO2_Reg_Mkt8
NY,CO2,Cap_All_CO2_Reg_Mkt8
OH,CO2,Cap_All_CO2_Reg_Mkt8
OK,CO2,Cap_All_CO2_Reg_Mkt8
OR,CO2,Cap_All_CO2_Reg_Mkt8
PA,CO2,Cap_All_CO2_Reg_Mkt8
RI,CO2,Cap_All_CO2_Reg_Mkt8
SC,CO2,Cap_All_CO2_Reg_Mkt8
SD,CO2,Cap_All_CO2_Reg_Mkt8
TN,CO2,Cap_All_CO2_Reg_Mkt8
TX,CO2,Cap_All_CO2_Reg_Mkt8
UT,CO2,Cap_All_CO2_Reg_Mkt8
VA,CO2,Cap_All_CO2_Reg_Mkt8
VT,CO2,Cap_All_CO2_Reg_Mkt8
WA,CO2,Cap_All_CO2_Reg_Mkt8
WI,CO2,Cap_All_CO2_Reg_Mkt8
WV,CO2,Cap_All_CO2_Reg_Mkt8
WY,CO2,Cap_All_CO2_Reg_Mkt8
USA,CO2,Cap_All_CO2_Reg_Mkt8
