########## Scenario Component Metadata ##########
#Scenario component type: Market Share
#Type: HDV-EV
#Subset: trn_freight_road : Medium truck : BEV : million ton-km;trn_freight_road : Medium truck : FCEV : million ton-km;
#Superset: trn_freight_road : Medium truck : BEV : million ton-km;trn_freight_road : Medium truck : FCEV : million ton-km;trn_freight_road : Medium truck : Hybrid Liquids : million ton-km;trn_freight_road : Medium truck : Liquids : million ton-km;trn_freight_road : Medium truck : NG : million ton-km;
#Applied to: New Purchases
#Treatment: Across Selected
#Constraint: Lower
#Policy name: HDV-EV_New_Reg
#Market name: HDV-EV_New_Reg_Mkt24
#Regions: CA,CO,CT,DC,HI,MA,MD,ME,NC,NJ,NY,OR,PA,RI,VT,WA
#Table data:2025  ,  0.150
#Table data:2030  ,  0.320
#Table data:2035  ,  0.490
#Table data:2040  ,  0.660
#Table data:2045  ,  0.830
#Table data:2050  , 1.0
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdActivate

region,policy,market,type,year,constrained
CA,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
CA,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
CA,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
CA,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
CA,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
CA,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
CO,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
CO,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
CO,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
CO,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
CO,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
CO,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
CT,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
CT,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
CT,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
CT,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
CT,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
CT,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
DC,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
DC,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
DC,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
DC,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
DC,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
DC,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
HI,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
HI,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
HI,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
HI,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
HI,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
HI,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
MA,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
MA,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
MA,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
MA,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
MA,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
MA,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
MD,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
MD,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
MD,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
MD,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
MD,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
MD,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
ME,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
ME,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
ME,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
ME,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
ME,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
ME,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
NC,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
NC,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
NC,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
NC,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
NC,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
NC,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
NJ,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
NJ,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
NJ,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
NJ,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
NJ,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
NJ,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
NY,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
NY,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
NY,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
NY,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
NY,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
NY,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
OR,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
OR,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
OR,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
OR,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
OR,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
OR,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
PA,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
PA,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
PA,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
PA,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
PA,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
PA,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
RI,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
RI,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
RI,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
RI,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
RI,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
RI,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
VT,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
VT,HDV-EV_New_Reg24-2030,HDV-EV_New_Reg_Mkt24-2030,RES,2030,1
VT,HDV-EV_New_Reg24-2035,HDV-EV_New_Reg_Mkt24-2035,RES,2035,1
VT,HDV-EV_New_Reg24-2040,HDV-EV_New_Reg_Mkt24-2040,RES,2040,1
VT,HDV-EV_New_Reg24-2045,HDV-EV_New_Reg_Mkt24-2045,RES,2045,1
VT,HDV-EV_New_Reg24-2050,HDV-EV_New_Reg_Mkt24-2050,RES,2050,1
WA,HDV-EV_New_Reg24-2025,HDV-EV_New_Reg_Mkt24-2025,RES,2025,1
