########## Scenario Component Metadata ##########
#Scenario component type: Market Share
#Type: HDV-EV
#Subset: trn_freight_road : Light truck : BEV : million ton-km;
#Superset: trn_freight_road : Light truck : BEV : million ton-km;trn_freight_road : Light truck : FCEV : million ton-km;trn_freight_road : Light truck : Hybrid Liquids : million ton-km;trn_freight_road : Light truck : Liquids : million ton-km;trn_freight_road : Light truck : NG : million ton-km;
#Applied to: New Purchases
#Treatment: Across Selected Regions
#Constraint: Lower
#Policy name: HDV-EV_New_Reg111
#Market name: HDV-EV_New_Reg_Mkt111
#Regions: CA,CO,CT,DE,MA,MD,ME,MN,NJ,NY,OR,PA,RI,VT,WA
#Table data:2025   ,   0.280
#Table data:2030   ,   0.680
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdActivate

region,policy,market,type,year,constrained
CA,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
CA,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
CO,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
CO,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
CT,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
CT,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
DE,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
DE,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
MA,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
MA,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
MD,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
MD,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
ME,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
ME,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
MN,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
MN,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
NJ,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
NJ,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
NY,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
NY,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
OR,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
OR,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
PA,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
PA,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
RI,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
RI,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
VT,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
VT,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1
WA,HDV-EV_New_Reg111-2025,HDV-EV_New_Reg_Mkt111-2025,RES,2025,1
WA,HDV-EV_New_Reg111-2030,HDV-EV_New_Reg_Mkt111-2030,RES,2030,1

INPUT_TABLE
Variable ID
GLIMPSEPFStdAdjCoef

region,sector,subsector,tech,year,policy,adjcoef-year,adjcoef
CA,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
CA,trn_freight_road,Light truck,FCEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
CA,trn_freight_road,Light truck,Hybrid Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
CA,trn_freight_road,Light truck,Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
CA,trn_freight_road,Light truck,NG,2025,HDV-EV_New_Reg111-2025,2025,0.28
CA,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
CA,trn_freight_road,Light truck,FCEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
CA,trn_freight_road,Light truck,Hybrid Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
CA,trn_freight_road,Light truck,Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
CA,trn_freight_road,Light truck,NG,2030,HDV-EV_New_Reg111-2030,2030,0.68
CO,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
CO,trn_freight_road,Light truck,FCEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
CO,trn_freight_road,Light truck,Hybrid Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
CO,trn_freight_road,Light truck,Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
CO,trn_freight_road,Light truck,NG,2025,HDV-EV_New_Reg111-2025,2025,0.28
CO,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
CO,trn_freight_road,Light truck,FCEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
CO,trn_freight_road,Light truck,Hybrid Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
CO,trn_freight_road,Light truck,Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
CO,trn_freight_road,Light truck,NG,2030,HDV-EV_New_Reg111-2030,2030,0.68
CT,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
CT,trn_freight_road,Light truck,FCEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
CT,trn_freight_road,Light truck,Hybrid Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
CT,trn_freight_road,Light truck,Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
CT,trn_freight_road,Light truck,NG,2025,HDV-EV_New_Reg111-2025,2025,0.28
CT,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
CT,trn_freight_road,Light truck,FCEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
CT,trn_freight_road,Light truck,Hybrid Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
CT,trn_freight_road,Light truck,Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
CT,trn_freight_road,Light truck,NG,2030,HDV-EV_New_Reg111-2030,2030,0.68
DE,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
DE,trn_freight_road,Light truck,FCEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
DE,trn_freight_road,Light truck,Hybrid Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
DE,trn_freight_road,Light truck,Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
DE,trn_freight_road,Light truck,NG,2025,HDV-EV_New_Reg111-2025,2025,0.28
DE,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
DE,trn_freight_road,Light truck,FCEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
DE,trn_freight_road,Light truck,Hybrid Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
DE,trn_freight_road,Light truck,Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
DE,trn_freight_road,Light truck,NG,2030,HDV-EV_New_Reg111-2030,2030,0.68
