############ Scenario Component Meta-Data ############
#Scenario component type: Tech Avail
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid clothes dryers  :  gas  :  clothes dryer  :  Mt
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid cooking  :  gas  :  gas oven  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid cooking  :  gas  :  gas oven hi-eff  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid cooking  :  refined liquids  :  lpg oven  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid cooking  :  refined liquids  :  lpg oven hi-eff  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid cooling  :  gas  :  gas  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid heating  :  biomass  :  wood furnace  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid heating  :  coal  :  coal furnace  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid heating  :  gas  :  gas furnace  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid heating  :  gas  :  gas furnace hi-eff  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid heating  :  refined liquids  :  fuel furnace  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid heating  :  refined liquids  :  fuel furnace hi-eff  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid heating  :  traditional biomass  :  traditional biomass  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid hot water  :  gas  :  gas water heater  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid hot water  :  gas  :  gas water heater hi-eff  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid hot water  :  refined liquids  :  fuel water heater  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>resid hot water  :  refined liquids  :  fuel water heater hi-eff  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm cooking  :  gas  :  gas range  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm cooking  :  gas  :  gas range hi-eff  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm cooling  :  gas  :  gas cooling  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm heating  :  biomass  :  wood furnace  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm heating  :  coal  :  coal furnace  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm heating  :  district heat  :  district heat  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm heating  :  gas  :  gas furnace  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm heating  :  gas  :  gas furnace hi-eff  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm heating  :  refined liquids  :  fuel furnace  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm hot water  :  gas  :  gas water heater  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm hot water  :  gas  :  gas water heater hi-eff  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm hot water  :  refined liquids  :  fuel water heater  :  EJ
#Bound:Never>false,Range>true,First>1975,Last>2020,Tech>comm refrigeration  :  electricity  :  refrigeration  :  EJ
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
######################################################
INPUT_TABLE
Variable ID
GLIMPSEStubTechShrwt

region,sector,subsector,tech,year,value
AK,resid clothes dryers,gas,clothes dryer,2025,0.0
AK,resid clothes dryers,gas,clothes dryer,2030,0.0
AK,resid clothes dryers,gas,clothes dryer,2035,0.0
AK,resid clothes dryers,gas,clothes dryer,2040,0.0
AK,resid clothes dryers,gas,clothes dryer,2045,0.0
AK,resid clothes dryers,gas,clothes dryer,2050,0.0
AK,resid clothes dryers,gas,clothes dryer,2055,0.0
AK,resid clothes dryers,gas,clothes dryer,2060,0.0
AK,resid clothes dryers,gas,clothes dryer,2065,0.0
AK,resid clothes dryers,gas,clothes dryer,2070,0.0
AK,resid clothes dryers,gas,clothes dryer,2075,0.0
AK,resid clothes dryers,gas,clothes dryer,2080,0.0
AK,resid clothes dryers,gas,clothes dryer,2085,0.0
AK,resid clothes dryers,gas,clothes dryer,2090,0.0
AK,resid clothes dryers,gas,clothes dryer,2095,0.0
AK,resid clothes dryers,gas,clothes dryer,2100,0.0
AL,resid clothes dryers,gas,clothes dryer,2025,0.0
AL,resid clothes dryers,gas,clothes dryer,2030,0.0
AL,resid clothes dryers,gas,clothes dryer,2035,0.0
AL,resid clothes dryers,gas,clothes dryer,2040,0.0
AL,resid clothes dryers,gas,clothes dryer,2045,0.0
AL,resid clothes dryers,gas,clothes dryer,2050,0.0
AL,resid clothes dryers,gas,clothes dryer,2055,0.0
AL,resid clothes dryers,gas,clothes dryer,2060,0.0
AL,resid clothes dryers,gas,clothes dryer,2065,0.0
AL,resid clothes dryers,gas,clothes dryer,2070,0.0
AL,resid clothes dryers,gas,clothes dryer,2075,0.0
AL,resid clothes dryers,gas,clothes dryer,2080,0.0
AL,resid clothes dryers,gas,clothes dryer,2085,0.0
AL,resid clothes dryers,gas,clothes dryer,2090,0.0
AL,resid clothes dryers,gas,clothes dryer,2095,0.0
AL,resid clothes dryers,gas,clothes dryer,2100,0.0
AR,resid clothes dryers,gas,clothes dryer,2025,0.0
AR,resid clothes dryers,gas,clothes dryer,2030,0.0
AR,resid clothes dryers,gas,clothes dryer,2035,0.0
AR,resid clothes dryers,gas,clothes dryer,2040,0.0
AR,resid clothes dryers,gas,clothes dryer,2045,0.0
AR,resid clothes dryers,gas,clothes dryer,2050,0.0
AR,resid clothes dryers,gas,clothes dryer,2055,0.0
AR,resid clothes dryers,gas,clothes dryer,2060,0.0
AR,resid clothes dryers,gas,clothes dryer,2065,0.0
AR,resid clothes dryers,gas,clothes dryer,2070,0.0
AR,resid clothes dryers,gas,clothes dryer,2075,0.0
AR,resid clothes dryers,gas,clothes dryer,2080,0.0
AR,resid clothes dryers,gas,clothes dryer,2085,0.0
AR,resid clothes dryers,gas,clothes dryer,2090,0.0
AR,resid clothes dryers,gas,clothes dryer,2095,0.0
AR,resid clothes dryers,gas,clothes dryer,2100,0.0
AZ,resid clothes dryers,gas,clothes dryer,2025,0.0
AZ,resid clothes dryers,gas,clothes dryer,2030,0.0
AZ,resid clothes dryers,gas,clothes dryer,2035,0.0
AZ,resid clothes dryers,gas,clothes dryer,2040,0.0
AZ,resid clothes dryers,gas,clothes dryer,2045,0.0
AZ,resid clothes dryers,gas,clothes dryer,2050,0.0
AZ,resid clothes dryers,gas,clothes dryer,2055,0.0
AZ,resid clothes dryers,gas,clothes dryer,2060,0.0
AZ,resid clothes dryers,gas,clothes dryer,2065,0.0
AZ,resid clothes dryers,gas,clothes dryer,2070,0.0
AZ,resid clothes dryers,gas,clothes dryer,2075,0.0
AZ,resid clothes dryers,gas,clothes dryer,2080,0.0
AZ,resid clothes dryers,gas,clothes dryer,2085,0.0
AZ,resid clothes dryers,gas,clothes dryer,2090,0.0
AZ,resid clothes dryers,gas,clothes dryer,2095,0.0
AZ,resid clothes dryers,gas,clothes dryer,2100,0.0
CA,resid clothes dryers,gas,clothes dryer,2025,0.0
CA,resid clothes dryers,gas,clothes dryer,2030,0.0
CA,resid clothes dryers,gas,clothes dryer,2035,0.0
CA,resid clothes dryers,gas,clothes dryer,2040,0.0
CA,resid clothes dryers,gas,clothes dryer,2045,0.0
CA,resid clothes dryers,gas,clothes dryer,2050,0.0
CA,resid clothes dryers,gas,clothes dryer,2055,0.0
CA,resid clothes dryers,gas,clothes dryer,2060,0.0
CA,resid clothes dryers,gas,clothes dryer,2065,0.0
CA,resid clothes dryers,gas,clothes dryer,2070,0.0
CA,resid clothes dryers,gas,clothes dryer,2075,0.0
CA,resid clothes dryers,gas,clothes dryer,2080,0.0
CA,resid clothes dryers,gas,clothes dryer,2085,0.0
CA,resid clothes dryers,gas,clothes dryer,2090,0.0
CA,resid clothes dryers,gas,clothes dryer,2095,0.0
CA,resid clothes dryers,gas,clothes dryer,2100,0.0
CO,resid clothes dryers,gas,clothes dryer,2025,0.0
CO,resid clothes dryers,gas,clothes dryer,2030,0.0
CO,resid clothes dryers,gas,clothes dryer,2035,0.0
CO,resid clothes dryers,gas,clothes dryer,2040,0.0
CO,resid clothes dryers,gas,clothes dryer,2045,0.0
CO,resid clothes dryers,gas,clothes dryer,2050,0.0
