########## Scenario Component Metadata ##########
#Scenario component type: Market Share
#Type: HDV-EV
#Subset: trn_freight_road : Light truck : BEV : million ton-km;
#Superset: trn_freight_road : Light truck : BEV : million ton-km;trn_freight_road : Light truck : FCEV : million ton-km;trn_freight_road : Light truck : Hybrid Liquids : million ton-km;trn_freight_road : Light truck : Liquids : million ton-km;trn_freight_road : Light truck : NG : million ton-km;
#Applied to: New Purchases
#Treatment: Across Selected Regions
#Constraint: Lower
#Policy name: HDV-EV_New_Reg10
#Market name: HDV-EV_New_Reg_Mkt10
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2025 , 0.0833
#Table data:2030 , 0.167
#Table data:2035 , 0.250
#Table data:2040 , 0.333
#Table data:2045 , 0.417
#Table data:2050 , 0.500
#Table data:2055 , .5
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdActivate

region,policy,market,type,year,constrained
AK,HDV-EV_New_Reg10-2025,HDV-EV_New_Reg_Mkt10-2025,RES,2025,1
AK,HDV-EV_New_Reg10-2030,HDV-EV_New_Reg_Mkt10-2030,RES,2030,1
AK,HDV-EV_New_Reg10-2035,HDV-EV_New_Reg_Mkt10-2035,RES,2035,1
AK,HDV-EV_New_Reg10-2040,HDV-EV_New_Reg_Mkt10-2040,RES,2040,1
AK,HDV-EV_New_Reg10-2045,HDV-EV_New_Reg_Mkt10-2045,RES,2045,1
AK,HDV-EV_New_Reg10-2050,HDV-EV_New_Reg_Mkt10-2050,RES,2050,1
AK,HDV-EV_New_Reg10-2055,HDV-EV_New_Reg_Mkt10-2055,RES,2055,1
AL,HDV-EV_New_Reg10-2025,HDV-EV_New_Reg_Mkt10-2025,RES,2025,1
AL,HDV-EV_New_Reg10-2030,HDV-EV_New_Reg_Mkt10-2030,RES,2030,1
AL,HDV-EV_New_Reg10-2035,HDV-EV_New_Reg_Mkt10-2035,RES,2035,1
AL,HDV-EV_New_Reg10-2040,HDV-EV_New_Reg_Mkt10-2040,RES,2040,1
AL,HDV-EV_New_Reg10-2045,HDV-EV_New_Reg_Mkt10-2045,RES,2045,1
AL,HDV-EV_New_Reg10-2050,HDV-EV_New_Reg_Mkt10-2050,RES,2050,1
AL,HDV-EV_New_Reg10-2055,HDV-EV_New_Reg_Mkt10-2055,RES,2055,1
AR,HDV-EV_New_Reg10-2025,HDV-EV_New_Reg_Mkt10-2025,RES,2025,1
AR,HDV-EV_New_Reg10-2030,HDV-EV_New_Reg_Mkt10-2030,RES,2030,1
AR,HDV-EV_New_Reg10-2035,HDV-EV_New_Reg_Mkt10-2035,RES,2035,1
AR,HDV-EV_New_Reg10-2040,HDV-EV_New_Reg_Mkt10-2040,RES,2040,1
AR,HDV-EV_New_Reg10-2045,HDV-EV_New_Reg_Mkt10-2045,RES,2045,1
AR,HDV-EV_New_Reg10-2050,HDV-EV_New_Reg_Mkt10-2050,RES,2050,1
AR,HDV-EV_New_Reg10-2055,HDV-EV_New_Reg_Mkt10-2055,RES,2055,1
AZ,HDV-EV_New_Reg10-2025,HDV-EV_New_Reg_Mkt10-2025,RES,2025,1
AZ,HDV-EV_New_Reg10-2030,HDV-EV_New_Reg_Mkt10-2030,RES,2030,1
AZ,HDV-EV_New_Reg10-2035,HDV-EV_New_Reg_Mkt10-2035,RES,2035,1
AZ,HDV-EV_New_Reg10-2040,HDV-EV_New_Reg_Mkt10-2040,RES,2040,1
AZ,HDV-EV_New_Reg10-2045,HDV-EV_New_Reg_Mkt10-2045,RES,2045,1
AZ,HDV-EV_New_Reg10-2050,HDV-EV_New_Reg_Mkt10-2050,RES,2050,1
AZ,HDV-EV_New_Reg10-2055,HDV-EV_New_Reg_Mkt10-2055,RES,2055,1
CA,HDV-EV_New_Reg10-2025,HDV-EV_New_Reg_Mkt10-2025,RES,2025,1
CA,HDV-EV_New_Reg10-2030,HDV-EV_New_Reg_Mkt10-2030,RES,2030,1
CA,HDV-EV_New_Reg10-2035,HDV-EV_New_Reg_Mkt10-2035,RES,2035,1
CA,HDV-EV_New_Reg10-2040,HDV-EV_New_Reg_Mkt10-2040,RES,2040,1
CA,HDV-EV_New_Reg10-2045,HDV-EV_New_Reg_Mkt10-2045,RES,2045,1
CA,HDV-EV_New_Reg10-2050,HDV-EV_New_Reg_Mkt10-2050,RES,2050,1
CA,HDV-EV_New_Reg10-2055,HDV-EV_New_Reg_Mkt10-2055,RES,2055,1
CO,HDV-EV_New_Reg10-2025,HDV-EV_New_Reg_Mkt10-2025,RES,2025,1
CO,HDV-EV_New_Reg10-2030,HDV-EV_New_Reg_Mkt10-2030,RES,2030,1
CO,HDV-EV_New_Reg10-2035,HDV-EV_New_Reg_Mkt10-2035,RES,2035,1
CO,HDV-EV_New_Reg10-2040,HDV-EV_New_Reg_Mkt10-2040,RES,2040,1
CO,HDV-EV_New_Reg10-2045,HDV-EV_New_Reg_Mkt10-2045,RES,2045,1
CO,HDV-EV_New_Reg10-2050,HDV-EV_New_Reg_Mkt10-2050,RES,2050,1
CO,HDV-EV_New_Reg10-2055,HDV-EV_New_Reg_Mkt10-2055,RES,2055,1
