########## Scenario Component Metadata ##########
#Scenario component type: Tech Param
#Sector: refining
#Technologies: refining : biomass liquids : BTL with hydrogen : EJ;refining : biomass liquids : cellulosic ethanol : EJ;refining : biomass liquids : cellulosic ethanol CCS level 1 : EJ;refining : biomass liquids : cellulosic ethanol CCS level 2 : EJ;refining : biomass liquids : FT biofuels : EJ;refining : biomass liquids : FT biofuels CCS level 1 : EJ;refining : biomass liquids : FT biofuels CCS level 2 : EJ;refining : coal to liquids : coal to liquids : EJ;refining : coal to liquids : coal to liquids CCS level 1 : EJ;refining : coal to liquids : coal to liquids CCS level 2 : EJ;refining : gas to liquids : gas to liquids : EJ;refining : gas to liquids : gas to liquids CCS level 1 : EJ;refining : gas to liquids : gas to liquids CCS level 2 : EJ;
#Parameter: Shareweight
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2020 , 0.0100
#Table data:2025 , 0.175
#Table data:2030 , 0.340
#Table data:2035 , 0.505
#Table data:2040 , 0.670
#Table data:2045 , 0.835
#Table data:2050 , 1.00
#################################################
INPUT_TABLE
Variable ID
GLIMPSEStubTechShrwt

region,sector,subsector1=>subsector2,technology,year,data
AK,refining,biomass liquids,BTL with hydrogen,2020,0.0100
AK,refining,biomass liquids,BTL with hydrogen,2025,0.175
AK,refining,biomass liquids,BTL with hydrogen,2030,0.340
AK,refining,biomass liquids,BTL with hydrogen,2035,0.505
AK,refining,biomass liquids,BTL with hydrogen,2040,0.670
AK,refining,biomass liquids,BTL with hydrogen,2045,0.835
AK,refining,biomass liquids,BTL with hydrogen,2050,1.00
AL,refining,biomass liquids,BTL with hydrogen,2020,0.0100
AL,refining,biomass liquids,BTL with hydrogen,2025,0.175
AL,refining,biomass liquids,BTL with hydrogen,2030,0.340
AL,refining,biomass liquids,BTL with hydrogen,2035,0.505
AL,refining,biomass liquids,BTL with hydrogen,2040,0.670
AL,refining,biomass liquids,BTL with hydrogen,2045,0.835
AL,refining,biomass liquids,BTL with hydrogen,2050,1.00
AR,refining,biomass liquids,BTL with hydrogen,2020,0.0100
AR,refining,biomass liquids,BTL with hydrogen,2025,0.175
AR,refining,biomass liquids,BTL with hydrogen,2030,0.340
AR,refining,biomass liquids,BTL with hydrogen,2035,0.505
AR,refining,biomass liquids,BTL with hydrogen,2040,0.670
AR,refining,biomass liquids,BTL with hydrogen,2045,0.835
AR,refining,biomass liquids,BTL with hydrogen,2050,1.00
AZ,refining,biomass liquids,BTL with hydrogen,2020,0.0100
AZ,refining,biomass liquids,BTL with hydrogen,2025,0.175
AZ,refining,biomass liquids,BTL with hydrogen,2030,0.340
AZ,refining,biomass liquids,BTL with hydrogen,2035,0.505
AZ,refining,biomass liquids,BTL with hydrogen,2040,0.670
AZ,refining,biomass liquids,BTL with hydrogen,2045,0.835
AZ,refining,biomass liquids,BTL with hydrogen,2050,1.00
CA,refining,biomass liquids,BTL with hydrogen,2020,0.0100
CA,refining,biomass liquids,BTL with hydrogen,2025,0.175
CA,refining,biomass liquids,BTL with hydrogen,2030,0.340
CA,refining,biomass liquids,BTL with hydrogen,2035,0.505
CA,refining,biomass liquids,BTL with hydrogen,2040,0.670
CA,refining,biomass liquids,BTL with hydrogen,2045,0.835
CA,refining,biomass liquids,BTL with hydrogen,2050,1.00
CO,refining,biomass liquids,BTL with hydrogen,2020,0.0100
CO,refining,biomass liquids,BTL with hydrogen,2025,0.175
CO,refining,biomass liquids,BTL with hydrogen,2030,0.340
CO,refining,biomass liquids,BTL with hydrogen,2035,0.505
CO,refining,biomass liquids,BTL with hydrogen,2040,0.670
CO,refining,biomass liquids,BTL with hydrogen,2045,0.835
