########## Scenario Component Metadata ##########
#Scenario component type: Tech Param
#Sector: refining
#Technologies: refining : biomass liquids : BTL with hydrogen : EJ;refining : biomass liquids : cellulosic ethanol : EJ;refining : biomass liquids : cellulosic ethanol CCS level 1 : EJ;refining : biomass liquids : cellulosic ethanol CCS level 2 : EJ;refining : biomass liquids : FT biofuels : EJ;refining : biomass liquids : FT biofuels CCS level 1 : EJ;refining : biomass liquids : FT biofuels CCS level 2 : EJ;refining : coal to liquids : coal to liquids : EJ;refining : coal to liquids : coal to liquids CCS level 1 : EJ;refining : coal to liquids : coal to liquids CCS level 2 : EJ;refining : gas to liquids : gas to liquids : EJ;refining : gas to liquids : gas to liquids CCS level 1 : EJ;refining : gas to liquids : gas to liquids CCS level 2 : EJ;
#Parameter: Shareweight
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2020 , 0.0100
#Table data:2025 , 0.0167
#Table data:2030 , 0.0233
#Table data:2035 , 0.0300
#Table data:2040 , 0.0367
#Table data:2045 , 0.0433
#Table data:2050 , 0.0500
#################################################
INPUT_TABLE
Variable ID
GLIMPSEStubTechShrwt

region,sector,subsector1=>subsector2,technology,year,data
AK,refining,biomass liquids,BTL with hydrogen,2020,0.0100
AK,refining,biomass liquids,BTL with hydrogen,2025,0.0167
AK,refining,biomass liquids,BTL with hydrogen,2030,0.0233
AK,refining,biomass liquids,BTL with hydrogen,2035,0.0300
AK,refining,biomass liquids,BTL with hydrogen,2040,0.0367
AK,refining,biomass liquids,BTL with hydrogen,2045,0.0433
AK,refining,biomass liquids,BTL with hydrogen,2050,0.0500
AL,refining,biomass liquids,BTL with hydrogen,2020,0.0100
AL,refining,biomass liquids,BTL with hydrogen,2025,0.0167
AL,refining,biomass liquids,BTL with hydrogen,2030,0.0233
AL,refining,biomass liquids,BTL with hydrogen,2035,0.0300
AL,refining,biomass liquids,BTL with hydrogen,2040,0.0367
AL,refining,biomass liquids,BTL with hydrogen,2045,0.0433
AL,refining,biomass liquids,BTL with hydrogen,2050,0.0500
AR,refining,biomass liquids,BTL with hydrogen,2020,0.0100
AR,refining,biomass liquids,BTL with hydrogen,2025,0.0167
AR,refining,biomass liquids,BTL with hydrogen,2030,0.0233
AR,refining,biomass liquids,BTL with hydrogen,2035,0.0300
AR,refining,biomass liquids,BTL with hydrogen,2040,0.0367
AR,refining,biomass liquids,BTL with hydrogen,2045,0.0433
AR,refining,biomass liquids,BTL with hydrogen,2050,0.0500
AZ,refining,biomass liquids,BTL with hydrogen,2020,0.0100
AZ,refining,biomass liquids,BTL with hydrogen,2025,0.0167
AZ,refining,biomass liquids,BTL with hydrogen,2030,0.0233
AZ,refining,biomass liquids,BTL with hydrogen,2035,0.0300
AZ,refining,biomass liquids,BTL with hydrogen,2040,0.0367
AZ,refining,biomass liquids,BTL with hydrogen,2045,0.0433
AZ,refining,biomass liquids,BTL with hydrogen,2050,0.0500
CA,refining,biomass liquids,BTL with hydrogen,2020,0.0100
