############ Scenario Component Meta-Data ############
#Scenario component type: Tech Avail
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_freight_road  :  Heavy truck  :  BEV  :  million ton-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_freight_road  :  Heavy truck  :  FCEV  :  million ton-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_freight_road  :  Medium truck  :  BEV  :  million ton-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_freight_road  :  Medium truck  :  FCEV  :  million ton-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_freight_road  :  Light truck  :  BEV  :  million ton-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_freight_road  :  Light truck  :  FCEV  :  million ton-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_pass_road  :  Bus  :  BEV  :  million pass-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_pass_road  :  Bus  :  FCEV  :  million pass-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_pass_road_LDV  :  2W and 3W  :  BEV  :  million pass-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_pass_road_LDV  :  2W and 3W  :  LA-BEV  :  million pass-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_pass_road_LDV_4W  :  Car  :  BEV  :  million pass-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_pass_road_LDV_4W  :  Car  :  FCEV  :  million pass-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_pass_road_LDV_4W  :  Large Car and Truck  :  BEV  :  million pass-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_pass_road_LDV_4W  :  Large Car and Truck  :  FCEV  :  million pass-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_pass_road_LDV_4W  :  Mini Car  :  BEV  :  million pass-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_pass_road_LDV_4W  :  Mini Car  :  FCEV  :  million pass-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_aviation_intl  :  International Aviation  :  BEV  :  million pass-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_freight  :  Domestic Ship  :  BEV  :  million ton-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_freight  :  Domestic Ship  :  FCEV  :  million ton-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_freight  :  Freight Rail  :  BEV  :  million ton-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_freight  :  Freight Rail  :  FCEV  :  million ton-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_pass  :  Domestic Aviation  :  BEV  :  million pass-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_shipping_intl  :  International Ship  :  BEV  :  million ton-km
#Bound:Never>true,Range>false,First>1975,Last>2015,Tech>trn_shipping_intl  :  International Ship  :  FCEV  :  million ton-km
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
######################################################
INPUT_TABLE
Variable ID
GLIMPSETechAvailBnd

region,sector,subsector,tech,init-year,final-year
AK,trn_freight_road,Heavy truck,BEV,3000,3005
AL,trn_freight_road,Heavy truck,BEV,3000,3005
AR,trn_freight_road,Heavy truck,BEV,3000,3005
AZ,trn_freight_road,Heavy truck,BEV,3000,3005
CA,trn_freight_road,Heavy truck,BEV,3000,3005
CO,trn_freight_road,Heavy truck,BEV,3000,3005
CT,trn_freight_road,Heavy truck,BEV,3000,3005
DC,trn_freight_road,Heavy truck,BEV,3000,3005
DE,trn_freight_road,Heavy truck,BEV,3000,3005
FL,trn_freight_road,Heavy truck,BEV,3000,3005
GA,trn_freight_road,Heavy truck,BEV,3000,3005
HI,trn_freight_road,Heavy truck,BEV,3000,3005
IA,trn_freight_road,Heavy truck,BEV,3000,3005
ID,trn_freight_road,Heavy truck,BEV,3000,3005
IL,trn_freight_road,Heavy truck,BEV,3000,3005
IN,trn_freight_road,Heavy truck,BEV,3000,3005
KS,trn_freight_road,Heavy truck,BEV,3000,3005
KY,trn_freight_road,Heavy truck,BEV,3000,3005
LA,trn_freight_road,Heavy truck,BEV,3000,3005
MA,trn_freight_road,Heavy truck,BEV,3000,3005
MD,trn_freight_road,Heavy truck,BEV,3000,3005
ME,trn_freight_road,Heavy truck,BEV,3000,3005
MI,trn_freight_road,Heavy truck,BEV,3000,3005
MN,trn_freight_road,Heavy truck,BEV,3000,3005
MO,trn_freight_road,Heavy truck,BEV,3000,3005
MS,trn_freight_road,Heavy truck,BEV,3000,3005
MT,trn_freight_road,Heavy truck,BEV,3000,3005
NC,trn_freight_road,Heavy truck,BEV,3000,3005
ND,trn_freight_road,Heavy truck,BEV,3000,3005
NE,trn_freight_road,Heavy truck,BEV,3000,3005
NH,trn_freight_road,Heavy truck,BEV,3000,3005
NJ,trn_freight_road,Heavy truck,BEV,3000,3005
NM,trn_freight_road,Heavy truck,BEV,3000,3005
NV,trn_freight_road,Heavy truck,BEV,3000,3005
NY,trn_freight_road,Heavy truck,BEV,3000,3005
OH,trn_freight_road,Heavy truck,BEV,3000,3005
OK,trn_freight_road,Heavy truck,BEV,3000,3005
OR,trn_freight_road,Heavy truck,BEV,3000,3005
PA,trn_freight_road,Heavy truck,BEV,3000,3005
RI,trn_freight_road,Heavy truck,BEV,3000,3005
SC,trn_freight_road,Heavy truck,BEV,3000,3005
SD,trn_freight_road,Heavy truck,BEV,3000,3005
TN,trn_freight_road,Heavy truck,BEV,3000,3005
TX,trn_freight_road,Heavy truck,BEV,3000,3005
UT,trn_freight_road,Heavy truck,BEV,3000,3005
VA,trn_freight_road,Heavy truck,BEV,3000,3005
VT,trn_freight_road,Heavy truck,BEV,3000,3005
WA,trn_freight_road,Heavy truck,BEV,3000,3005
WI,trn_freight_road,Heavy truck,BEV,3000,3005
WV,trn_freight_road,Heavy truck,BEV,3000,3005
WY,trn_freight_road,Heavy truck,BEV,3000,3005
USA,trn_freight_road,Heavy truck,BEV,3000,3005
AK,trn_freight_road,Heavy truck,FCEV,3000,3005
AL,trn_freight_road,Heavy truck,FCEV,3000,3005
AR,trn_freight_road,Heavy truck,FCEV,3000,3005
AZ,trn_freight_road,Heavy truck,FCEV,3000,3005
CA,trn_freight_road,Heavy truck,FCEV,3000,3005
CO,trn_freight_road,Heavy truck,FCEV,3000,3005
CT,trn_freight_road,Heavy truck,FCEV,3000,3005
DC,trn_freight_road,Heavy truck,FCEV,3000,3005
DE,trn_freight_road,Heavy truck,FCEV,3000,3005
FL,trn_freight_road,Heavy truck,FCEV,3000,3005
