########## Scenario Component Metadata ##########
#Scenario component type: Pollutant Tax/Cap
#Measure: Emission Tax ($/t)
#Pollutant: CO2 (MT C)
#Sector: All
#Policy name: Tax_All_CO2_Reg1692992804160
#Market name: Tax_All_CO2_Reg_Mkt1692992804160
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2025 , 0.00100
#Table data:2030 , 0.00100
#Table data:2035 , 0.00100
#Table data:2040 , 0.00100
#Table data:2045 , 0.00100
#Table data:2050 , 0.00100
#################################################
INPUT_TABLE
Variable ID
GLIMPSEEmissionTax

region,pollutant,market,year,tax
AK,CO2,Tax_All_CO2_Reg_Mkt1692992804160,2025,0.00100
AK,CO2,Tax_All_CO2_Reg_Mkt1692992804160,2030,0.00100
AK,CO2,Tax_All_CO2_Reg_Mkt1692992804160,2035,0.00100
AK,CO2,Tax_All_CO2_Reg_Mkt1692992804160,2040,0.00100
AK,CO2,Tax_All_CO2_Reg_Mkt1692992804160,2045,0.00100
AK,CO2,Tax_All_CO2_Reg_Mkt1692992804160,2050,0.00100

INPUT_TABLE
Variable ID
GLIMPSEEmissionMarket

region,pollutant,market
AL,CO2,Tax_All_CO2_Reg_Mkt1692992804160
AR,CO2,Tax_All_CO2_Reg_Mkt1692992804160
AZ,CO2,Tax_All_CO2_Reg_Mkt1692992804160
CA,CO2,Tax_All_CO2_Reg_Mkt1692992804160
CO,CO2,Tax_All_CO2_Reg_Mkt1692992804160
CT,CO2,Tax_All_CO2_Reg_Mkt1692992804160
DC,CO2,Tax_All_CO2_Reg_Mkt1692992804160
DE,CO2,Tax_All_CO2_Reg_Mkt1692992804160
FL,CO2,Tax_All_CO2_Reg_Mkt1692992804160
GA,CO2,Tax_All_CO2_Reg_Mkt1692992804160
HI,CO2,Tax_All_CO2_Reg_Mkt1692992804160
IA,CO2,Tax_All_CO2_Reg_Mkt1692992804160
ID,CO2,Tax_All_CO2_Reg_Mkt1692992804160
IL,CO2,Tax_All_CO2_Reg_Mkt1692992804160
IN,CO2,Tax_All_CO2_Reg_Mkt1692992804160
KS,CO2,Tax_All_CO2_Reg_Mkt1692992804160
KY,CO2,Tax_All_CO2_Reg_Mkt1692992804160
LA,CO2,Tax_All_CO2_Reg_Mkt1692992804160
MA,CO2,Tax_All_CO2_Reg_Mkt1692992804160
MD,CO2,Tax_All_CO2_Reg_Mkt1692992804160
ME,CO2,Tax_All_CO2_Reg_Mkt1692992804160
MI,CO2,Tax_All_CO2_Reg_Mkt1692992804160
MN,CO2,Tax_All_CO2_Reg_Mkt1692992804160
MO,CO2,Tax_All_CO2_Reg_Mkt1692992804160
MS,CO2,Tax_All_CO2_Reg_Mkt1692992804160
MT,CO2,Tax_All_CO2_Reg_Mkt1692992804160
NC,CO2,Tax_All_CO2_Reg_Mkt1692992804160
ND,CO2,Tax_All_CO2_Reg_Mkt1692992804160
NE,CO2,Tax_All_CO2_Reg_Mkt1692992804160
NH,CO2,Tax_All_CO2_Reg_Mkt1692992804160
NJ,CO2,Tax_All_CO2_Reg_Mkt1692992804160
NM,CO2,Tax_All_CO2_Reg_Mkt1692992804160
NV,CO2,Tax_All_CO2_Reg_Mkt1692992804160
NY,CO2,Tax_All_CO2_Reg_Mkt1692992804160
OH,CO2,Tax_All_CO2_Reg_Mkt1692992804160
OK,CO2,Tax_All_CO2_Reg_Mkt1692992804160
OR,CO2,Tax_All_CO2_Reg_Mkt1692992804160
PA,CO2,Tax_All_CO2_Reg_Mkt1692992804160
RI,CO2,Tax_All_CO2_Reg_Mkt1692992804160
SC,CO2,Tax_All_CO2_Reg_Mkt1692992804160
SD,CO2,Tax_All_CO2_Reg_Mkt1692992804160
TN,CO2,Tax_All_CO2_Reg_Mkt1692992804160
TX,CO2,Tax_All_CO2_Reg_Mkt1692992804160
UT,CO2,Tax_All_CO2_Reg_Mkt1692992804160
VA,CO2,Tax_All_CO2_Reg_Mkt1692992804160
VT,CO2,Tax_All_CO2_Reg_Mkt1692992804160
WA,CO2,Tax_All_CO2_Reg_Mkt1692992804160
WI,CO2,Tax_All_CO2_Reg_Mkt1692992804160
WV,CO2,Tax_All_CO2_Reg_Mkt1692992804160
WY,CO2,Tax_All_CO2_Reg_Mkt1692992804160
USA,CO2,Tax_All_CO2_Reg_Mkt1692992804160
