scenario,created,run,version,#warn,#err,unsolved,completed?,solution(sec),total(sec),components
AllEV-global,21.09.01,21.09.01,code base version 5.4 revision gcam-v5.4,0,19,5; 6;,true,4051.26,4458.03,air_pollutants.txt; verbose_solver_log.txt; LDV-EV-4W_All_global_Ea_75x50.csv;
CESEV40x50,21.09.06,21.09.06,code base version 5.4 revision gcam-v5.4,0,0,,false,,,air_pollutants.txt; GREET_upstream_pollutants.txt; RGGI-hold.txt; verbose_solver_log.txt; LDV-EV-4W_All_USA_Ea-40x50.csv; relaxed_solver.txt; CES_100x50_AllStock_Acr.csv;
CESEV50x50,21.09.06,21.09.07,code base version 5.4 revision gcam-v5.4,0,2500,,false,,,air_pollutants.txt; GREET_upstream_pollutants.txt; RGGI-hold.txt; verbose_solver_log.txt; LDV-EV-4W_All_USA_Ea-50x50.csv; relaxed_solver.txt; CES_100x50_AllStock_Acr.csv;
CESEV60x50,21.09.06,21.09.09,code base version 5.4 revision gcam-v5.4,0,3,,false,,,air_pollutants.txt; GREET_upstream_pollutants.txt; RGGI-hold.txt; verbose_solver_log.txt; LDV-EV-4W_All_USA_Ea-60x50.csv; relaxed_solver.txt; CES_100x50_AllStock_Acr.csv;
CESEV70x50,21.09.06,21.09.07,code base version 5.4 revision gcam-v5.4,0,0,,false,,,air_pollutants.txt; GREET_upstream_pollutants.txt; RGGI-hold.txt; verbose_solver_log.txt; LDV-EV-4W_All_USA_Ea-70x50.csv; relaxed_solver.txt; CES_100x50_AllStock_Acr.csv;
CESEV80x50,21.09.06,21.09.06,code base version 5.4 revision gcam-v5.4,0,0,,false,,,air_pollutants.txt; GREET_upstream_pollutants.txt; RGGI-hold.txt; verbose_solver_log.txt; LDV-EV-4W_All_USA_Ea-80x50.csv; relaxed_solver.txt; CES_100x50_AllStock_Acr.csv;
CESForEVs,21.09.06,21.09.09,code base version 5.4 revision gcam-v5.4,0,3,,false,,,air_pollutants.txt; GREET_upstream_pollutants.txt; RGGI-hold.txt; verbose_solver_log.txt; relaxed_solver.txt; CES_100x50_AllStock_Acr.csv;
EV100x30sales,21.09.04,21.09.08,code base version 5.4 revision gcam-v5.4,0,12,4;,true,3139.01,3585.01,air_pollutants.txt; GREET_upstream_pollutants.txt; RGGI-hold.txt; verbose_solver_log.txt; relaxed_solver.txt; LDV-EV-4W_Sales_USA_Ea-100x30.csv;
EV100x35sales,21.09.04,21.09.08,code base version 5.4 revision gcam-v5.4,0,3,,true,3524.56,4042.35,air_pollutants.txt; GREET_upstream_pollutants.txt; RGGI-hold.txt; verbose_solver_log.txt; LDV-EV-4W_Sales_USA_Ea-100x35.csv; relaxed_solver.txt;
EV100x40sales,21.09.04,21.09.08,code base version 5.4 revision gcam-v5.4,0,3,,true,2856.9,3504.44,air_pollutants.txt; GREET_upstream_pollutants.txt; RGGI-hold.txt; verbose_solver_log.txt; relaxed_solver.txt; LDV-EV-4W_Sales_USA_Ea-100x40.csv;
EV100x45sales,21.09.04,21.09.08,code base version 5.4 revision gcam-v5.4,0,3,,true,2573.49,2992.38,air_pollutants.txt; GREET_upstream_pollutants.txt; RGGI-hold.txt; verbose_solver_log.txt; relaxed_solver.txt; LDV-EV-4W_Sales_USA_Ea-100x45.csv;
EV100x50sales,21.09.04,21.09.08,code base version 5.4 revision gcam-v5.4,0,0,,false,,,air_pollutants.txt; GREET_upstream_pollutants.txt; RGGI-hold.txt; verbose_solver_log.txt; relaxed_solver.txt; LDV-EV-4W_Sales_USA_Ea-100x50.csv;
