########## Scenario Component Metadata ##########
#Scenario component type: Market Share
#Type: EV passenger cars and trucks
#Subset: trn_pass_road_LDV_4W : Car : BEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Car : FCEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : BEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : FCEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : BEV : million pass-km : Trn-Onroad;
#Superset: trn_pass_road_LDV_4W : Car : BEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Car : FCEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Car : Hybrid Liquids : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Car : Liquids : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Car : NG : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : BEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : FCEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : Hybrid Liquids : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : Liquids : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Large Car and Truck : NG : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : BEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : FCEV : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : Hybrid Liquids : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : Liquids : million pass-km : Trn-Onroad;trn_pass_road_LDV_4W : Mini Car : NG : million pass-km : Trn-Onroad;
#Applied to: New Purchases
#Treatment: Across Selected Regions
#Constraint: Lower
#Policy name: EV-passenger-cars-and-trucks_New_Reg1701350367823
#Market name: EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA
#Table data:2025   ,   .25
#Table data:2030   , .66
#Table data:2035   ,   1.00
#Table data:2040   ,   1.00
#Table data:2045   ,   1.00
#Table data:2050   ,   1.00
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdActivate

region,policy,market,type,year,constrained
AK,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2025,RES,2025,1
AK,EV-passenger-cars-and-trucks_New_Reg1701350367823-2030,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2030,RES,2030,1
AK,EV-passenger-cars-and-trucks_New_Reg1701350367823-2035,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2035,RES,2035,1
AK,EV-passenger-cars-and-trucks_New_Reg1701350367823-2040,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2040,RES,2040,1
AK,EV-passenger-cars-and-trucks_New_Reg1701350367823-2045,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2045,RES,2045,1
AK,EV-passenger-cars-and-trucks_New_Reg1701350367823-2050,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2050,RES,2050,1
AL,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2025,RES,2025,1
AL,EV-passenger-cars-and-trucks_New_Reg1701350367823-2030,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2030,RES,2030,1
AL,EV-passenger-cars-and-trucks_New_Reg1701350367823-2035,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2035,RES,2035,1
AL,EV-passenger-cars-and-trucks_New_Reg1701350367823-2040,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2040,RES,2040,1
AL,EV-passenger-cars-and-trucks_New_Reg1701350367823-2045,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2045,RES,2045,1
AL,EV-passenger-cars-and-trucks_New_Reg1701350367823-2050,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2050,RES,2050,1
AR,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2025,RES,2025,1
AR,EV-passenger-cars-and-trucks_New_Reg1701350367823-2030,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2030,RES,2030,1
AR,EV-passenger-cars-and-trucks_New_Reg1701350367823-2035,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2035,RES,2035,1
AR,EV-passenger-cars-and-trucks_New_Reg1701350367823-2040,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2040,RES,2040,1
AR,EV-passenger-cars-and-trucks_New_Reg1701350367823-2045,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2045,RES,2045,1
AR,EV-passenger-cars-and-trucks_New_Reg1701350367823-2050,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2050,RES,2050,1
AZ,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2025,RES,2025,1
AZ,EV-passenger-cars-and-trucks_New_Reg1701350367823-2030,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2030,RES,2030,1
AZ,EV-passenger-cars-and-trucks_New_Reg1701350367823-2035,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2035,RES,2035,1
AZ,EV-passenger-cars-and-trucks_New_Reg1701350367823-2040,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2040,RES,2040,1
AZ,EV-passenger-cars-and-trucks_New_Reg1701350367823-2045,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2045,RES,2045,1
AZ,EV-passenger-cars-and-trucks_New_Reg1701350367823-2050,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2050,RES,2050,1
CA,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2025,RES,2025,1
CA,EV-passenger-cars-and-trucks_New_Reg1701350367823-2030,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2030,RES,2030,1
CA,EV-passenger-cars-and-trucks_New_Reg1701350367823-2035,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2035,RES,2035,1
CA,EV-passenger-cars-and-trucks_New_Reg1701350367823-2040,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2040,RES,2040,1
CA,EV-passenger-cars-and-trucks_New_Reg1701350367823-2045,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2045,RES,2045,1
CA,EV-passenger-cars-and-trucks_New_Reg1701350367823-2050,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2050,RES,2050,1
CO,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2025,RES,2025,1
CO,EV-passenger-cars-and-trucks_New_Reg1701350367823-2030,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2030,RES,2030,1
CO,EV-passenger-cars-and-trucks_New_Reg1701350367823-2035,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2035,RES,2035,1
CO,EV-passenger-cars-and-trucks_New_Reg1701350367823-2040,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2040,RES,2040,1
CO,EV-passenger-cars-and-trucks_New_Reg1701350367823-2045,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2045,RES,2045,1
CO,EV-passenger-cars-and-trucks_New_Reg1701350367823-2050,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2050,RES,2050,1
CT,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2025,RES,2025,1
CT,EV-passenger-cars-and-trucks_New_Reg1701350367823-2030,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2030,RES,2030,1
CT,EV-passenger-cars-and-trucks_New_Reg1701350367823-2035,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2035,RES,2035,1
CT,EV-passenger-cars-and-trucks_New_Reg1701350367823-2040,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2040,RES,2040,1
CT,EV-passenger-cars-and-trucks_New_Reg1701350367823-2045,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2045,RES,2045,1
CT,EV-passenger-cars-and-trucks_New_Reg1701350367823-2050,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2050,RES,2050,1
DC,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2025,RES,2025,1
DC,EV-passenger-cars-and-trucks_New_Reg1701350367823-2030,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2030,RES,2030,1
DC,EV-passenger-cars-and-trucks_New_Reg1701350367823-2035,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2035,RES,2035,1
DC,EV-passenger-cars-and-trucks_New_Reg1701350367823-2040,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2040,RES,2040,1
DC,EV-passenger-cars-and-trucks_New_Reg1701350367823-2045,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2045,RES,2045,1
DC,EV-passenger-cars-and-trucks_New_Reg1701350367823-2050,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2050,RES,2050,1
DE,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2025,RES,2025,1
DE,EV-passenger-cars-and-trucks_New_Reg1701350367823-2030,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2030,RES,2030,1
DE,EV-passenger-cars-and-trucks_New_Reg1701350367823-2035,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2035,RES,2035,1
DE,EV-passenger-cars-and-trucks_New_Reg1701350367823-2040,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2040,RES,2040,1
DE,EV-passenger-cars-and-trucks_New_Reg1701350367823-2045,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2045,RES,2045,1
DE,EV-passenger-cars-and-trucks_New_Reg1701350367823-2050,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2050,RES,2050,1
FL,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2025,RES,2025,1
FL,EV-passenger-cars-and-trucks_New_Reg1701350367823-2030,EV-passenger-cars-and-trucks_New_Reg_Mkt1701350367823-2030,RES,2030,1
