
INPUT_TABLE
Variable ID
GLIMPSEPFStdAdjCoef-v2

region,sector,subsector,tech,year,policy,adjcoef-year,adjcoef,unit-price-conv
AK,trn_pass_road_LDV_4W,Car,BEV,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
AK,trn_pass_road_LDV_4W,Car,FCEV,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
AK,trn_pass_road_LDV_4W,Car,Hybrid Liquids,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
AK,trn_pass_road_LDV_4W,Car,Liquids,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
AK,trn_pass_road_LDV_4W,Car,NG,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
AK,trn_pass_road_LDV_4W,Large Car and Truck,BEV,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
AK,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
AK,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
AK,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
AK,trn_pass_road_LDV_4W,Large Car and Truck,NG,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
AK,trn_pass_road_LDV_4W,Mini Car,FCEV,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
AK,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
AK,trn_pass_road_LDV_4W,Mini Car,Liquids,2025,EV-passenger-cars-and-trucks_New_Reg1701350367823-2025,2025,250.0,1e-3
