INPUT_TABLE
Variable ID
GLIMPSEPFStdTechUpBoundP2

region,policy-name,market,type,constraint-yr,constraint-val
AK,AK_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AK_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
AK,AK_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AK_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
AK,AK_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AK_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
AK,AK_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AK_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
AK,AK_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AK_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
AK,AK_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AK_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
AK,AK_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AK_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
AL,AL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
AL,AL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
AL,AL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
AL,AL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
AL,AL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
AL,AL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
AL,AL_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AL_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2050,1.00
AR,AR_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AR_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2020,1.00
AR,AR_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AR_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2025,1.00
AR,AR_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AR_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2030,1.00
AR,AR_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AR_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2035,1.00
AR,AR_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AR_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2040,1.00
AR,AR_Up_Base_load_generation_Tech_Reg_Ea1684416246156,AR_Up_Base_load_generation_Tech_Reg_Ea_Mkt1684416246156,tax,2045,1.00
